item_id	from_person	to_person	from_place	to_place	send_date	mentioned_places	mentioned_persons	is_heimat_relevant	notes
IL-MTFN-001-G-F-0102-001-R0004	Hugo Mainz		NULL	NULL	1929	Frankfurt	Hugo Mainz	false	Pre-1933 German communal life
IL-MTFN-001-G-F-0102-001-R0005	Dorfzaun	Hugo Mainz	NULL	NULL	1929-1931	Frankfurt	Hugo Mainz; Dorfzaun	false	Pre-1933 German association meetings
IL-MTFN-001-G-F-0102-001-R0007	Bürgervereinigung Harvestehude-Rotherbaum	Mrs. Hugo Mainz	Hamburg	NULL	1932	Hamburg; Harvestehude; Rotherbaum	Hugo Mainz	false	1932 pre-emigration; Hamburg neighborhood association
IL-MTFN-001-G-F-0102-001-R0010	Dr. Carlebach; Rabbi Maarsen; Willi Mainz; parents	Hugo Mainz	NULL	NULL	1927		Hugo Mainz; Carlebach; Maarsen; Willi Mainz	false	1927 family/communal letters; pre-1933
IL-MTFN-001-G-F-0102-003-R0001	NULL	NULL	NULL	NULL	NULL		NULL	false	Undated leather envelope with Hebrew letter of appreciation
IL-MTFN-001-G-F-0444-003-R0001	City of Worms (Mayor's office)	Hans Hanan Mannheimer	Worms	NULL	1964	Worms	Hans Hanan Mannheimer	true	**Official 1964 invitation from Worms to former resident**; canonical return-visit case
IL-MTFN-001-G-F-0444-003-R0007	NULL	NULL	Worms	NULL	NULL	Worms		true	Postcards of Worms Jewish cemetery; Heimat-memorial material
IL-MTFN-001-G-F-0444-003-R0008	Chanan Hans Mannheimer	Rashi (fictive)	NULL	NULL	NULL	Worms	Chanan Hans Mannheimer; Rashi	true	Fictive letter to Rashi narrating ancestors in Worms; explicit Heimat-memory genre
IL-MTFN-001-G-F-0444-003-R0011	Green Party Worms	NULL	Worms	NULL	1985-05-07	Worms	Hans Mannheimer	true	1985 recommendation for honorary citizenship of Worms
IL-MTFN-001-G-F-0444-003-R0012	Hans Mannheimer	Green Party Worms	NULL	Worms	1985-05-22	Worms	Hans Mannheimer	true	Mannheimer declines honorary citizenship over disrespectful process
