doc_id	page_no	tesseract_grade	script	hand_kind	layout	legibility	route	why	note
0047-2__0047-2-D05	18	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Airmail envelope with printed 'PAR AVION', handwritten address in Latin script, and Hebrew postmarks.
0047-2__0047-2-D05	19	mixed	print		single	good	keep	already transcribed by Transkribus	The back of an airmail envelope from the Jewish Agency with printed text in Hebrew and English.
0047-2__0047-2-D05	20	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Letter on printed letterhead with Hebrew text and a handwritten date and body in German Latin cursive.
0047-2__0047-2-D05	21	poor	mixed	hebrew	single	good	gemini	printed body with handwriting on it	The page is an envelope with handwritten Hebrew address and Israeli postage stamps.
0047-2__0047-2-D05	22	poor	print		mostly-image	good	keep	already transcribed by Transkribus	The page contains only a single circular ink stamp on the back of an envelope.
0047-2__0047-2-D08	33	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Handwritten letter on a letterhead with Hebrew and Latin print.
0047-2__0047-2-D08	34	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	Handwritten letter in Latin script with some blue ink annotations at the top and a circular stamp on the left edge.
0047-2__0047-2-D08	35	poor	mixed	hebrew	single	good	gemini	printed body with handwriting on it	Handwritten Hebrew address on an envelope with Israeli postage stamps and postmarks.
0047-2__0047-2-D08	36	poor	mixed	latin	single	good	gemini	printed body with handwriting on it	Back of a used envelope with a partial postmark.
0047-2__0047-2-D14	57	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	A modern Latin longhand letter in German dated 1959.
0047-2__0047-2-D14	58	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	The text contains a vertical note in the left margin.
0047-2__0047-2-D14	59	poor	handwriting	latin	single	good	transkribus	handwritten (latin)	Handwritten address in Latin script and some Hebrew script; contains postal stamps.
0047-2__0047-2-D14	60	poor	handwriting	latin	single	good	transkribus	handwritten (latin)	Back of an envelope with two handwritten initials.
0047-2__0047-2-D18	80	mixed	typescript	latin	single	good	keep	already transcribed by Transkribus	Typewritten letter with minor handwritten character corrections.
0047-2__0047-2-D18	81	mixed	typescript		single	good	gemini	typescript, graded mixed	Typewritten text on a slightly creased and cropped slip of paper.
0047-2__0047-2-D19	82	clean	mixed	hebrew	single	good	gemini	printed body with handwriting on it	Typewritten text in German with a short handwritten annotation in Hebrew script at the bottom.
0047-2__0047-2-D19	83	clean	typescript		single	good	keep	already transcribed by Transkribus	Typewritten letter with minor manual corrections to letters/spacing.
0047-2__0047-2-D33	133	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	Small amount of handwritten text at the bottom, including a date and a name (Dr. M. Schenker).
0047-2__0047-2-D33	134	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	Text includes a name (Dr. M. Schenker) and a date (16.11.1961) in Latin script, with some words that may be Hebrew.
0047-2__0047-2-D33	135	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Handwritten envelope addressed to Israel with an airmail sticker and postal stamps.
0047-2__0047-2-D33	136	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	A handwritten return address on the flap of an envelope.
0047-2__0047-2-D33	137	clean	handwriting	latin	single	good	transkribus	handwritten (latin)	A very neat, modern Latin cursive hand.
0047-2__0047-2-D33	138	clean	handwriting	latin	single	good	transkribus	handwritten (latin)	The handwriting is a clear Latin script, not Kurrent/Sütterlin.
0047-2__0047-2-D33	139	clean	handwriting	latin	single	good	transkribus	handwritten (latin)	Page number 3 is handwritten at the top right corner. The text is in modern Latin cursive, not Kurrent.
0047-2__0047-2-D33	140	clean	handwriting	latin	single	good	transkribus	handwritten (latin)	A personal letter written in clear Latin cursive.
0047-2__0047-2-D33	141	mixed	handwriting	latin	single	good	transkribus	handwritten (latin)	Contains handwritten notes in Latin and Hebrew scripts.
0047-2__0047-2-D37	153	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten letter with handwritten date and note at the top; some paper staining and a horizontal fold crease.
0047-2__0047-2-D37	154	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten letter with minor handwritten corrections and a signature.
0113-41__0113-S02	13	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with handwritten title in red and several handwritten annotations in margins.
0113-41__0113-S02	14	mixed	mixed	kurrent	single	good	gemini	printed body with handwriting on it	Typewritten text with significant handwritten additions in German Kurrent script both in the margins and interlinear.
0113-41__0113-S02	15	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with extensive handwritten annotations in the margins and underlining.
0113-41__0113-S02	16	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten page with significant handwritten additions and underlining in Latin script.
0113-41__0113-S02	17	mixed	mixed	kurrent	single	good	gemini	printed body with handwriting on it	Typescript document with a marginal note in Kurrent script and handwritten corrections in Latin script.
0113-41__0113-S02	18	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with significant handwritten Latin script annotations and corrections in the margins and between lines.
0113-41__0113-S02	19	clean	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with several handwritten corrections and red underlines.
0113-41__0113-S02	20	clean	typescript		single	good	keep	clean print, Tesseract confidence 0.915	Typewritten page with some underline annotations and a small handwritten correction.
0113-41__0113-S02	21	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with several handwritten lines at the bottom and some underlined phrases in red ink.
0113-41__0113-S02	22	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with extensive handwritten marginalia and underlinings.
0113-41__0113-S02	23	mixed	mixed	latin	single	good	gemini	printed body with handwriting on it	Typewritten text with several handwritten Latin script annotations and marginal notes.
