doc_id	page_no	label	chars	confidence	model_description	opening_text
0444-3__0444-D05	245	drop	18322	0.98	local news, columns, notices, and advertisements	 Drinnen und draußen Stadthalle Die Diskussion um Stadthalle ist in Gang gekommen. Da — in Worms durchaus nicht üblich — die maßgebenden Parteien das Projekt, wie und wo auch immer, bejahen, kann davon ausgegangen werden
0444-3__0444-D05	246	drop	14503	0.98	book reviews and advertisements, unrelated to Mannheimer or Worms	 er Hauptmann der Schutzpolizei Salitter legte als Führer eines Begleitkommandos der Gestapo am 26. Dezember 1941 einen umfangreichen Bericht über die Deportation von 1007 Juden aus den Städten und Landgemeinden des rhei
0422-3__0422-S18	339	drop	9890	1.00	history of the city of Schwäbisch Hall	der Verwaltung und Politik bestimmt und auch den wichtigsten Haller Wirtschaftsfaktor, die Salzindustrie wesentlich gestaltet Ursprünglich ist der König alleiniger Inhaber der Salzquelle, er verschenkt Siederechte reichl
0422-3__0422-S16	288	drop	9787	1.00	political text on Israel-Palestine conflict	immer mit dem Anspruch verbunden wird, daß es für die andere Seite ein solches »historisches Recht« nicht gebe. Viele Menschen beider Konfliktparteien haben eine intensive Bindung an dieses Land in seiner Gesamtheit und 
0422-3__0422-S16	287	drop	9569	1.00	political tract on Israel/Palestine conflict	zialismus, von denen in Israel noch sehr viele leben, kaum oder gar nicht mehr auf. Zur Übernahme von Argumenten der Betroffenen 27. Es könnte uns entgegnet werden, daß die von uns kritisierten Kategorien auch von Betrof
0276-6__0276-D15	56	drop	9427	0.95	article about Kristallnacht and German population's attitude	 ie schlimmen Ereignisse, auf die wir heute besinnen, liegen Be Ihrzehnte zurück. Wer sich mit einer gut etablierten, plur: gerichteten, Demokratie itsstaatlichem Zuschnitt Ich gehöre, damals Jahre ate sat cong danı. ‘Im
0444-3__0444-D05	247	drop	9242	0.95	Amos Oz profile and interleaved advertisement	 ie er so da steht, im Hemdsärmeln und kurzen Hosen, vor dem Häus- chen, in dem er sich sein Arbeitszim- mer eingerichtet hat, könnte man ihn für einen zufriedenen Schrebergärtner halten. Die Sonne scheint, der Rasen grü
0422-3__0422-S18	348	drop	6886	0.95	theatre review	 -- | ‏ב‎ vor der 60jahrigen Geschichte der Freil RP Ovationen fur den „Jedermann“ Regie und schauspieler t gelu Leistungen überzeugten restios —das Stück nurnoch zum Teil (©) Genau 16 Jahre sah man ihn | läumsjahr 1985 
0422-3__0422-S18	352	drop	6226	1.00	article about high school graduation in Michelbach	 Oberstudiendirektor Otto Schmelzle: Michelbachs Bild soll fortleben Verabschiedung der Abiturienten des Evangelisch-Kirchlichen Aufbaugymnasiums MICHELBACH/BILZ (stm). Mit dem Wunsch, daß das innere u das sich jeder Sch
0444-3__0444-D05	247	drop	5849	0.95	Amos Oz profile continuation and Artemis publisher advertisement	 Verstand und mit Vorsicht. Der Nationalismus als solcher ist, meiner Meinung nach, der Fluch der Menschheit . . .“ So besteht der ironische Prophet aus dem Kibbuz Hulda auf einer „Staatsräson“, die sich ausschließlich ü
0422-3__0422-S18	343	drop	5399	0.95	city walking tour description	nerkloster (11.717. Jh.), über die Bildersteige zu erreichen. Der eiligere Besucher kehrt über die Ackeranlagen zurück, geht die Fuhr hoch nach links in den Einmündungsbereich der Oberen und Unteren Herrngasse, wo die Be
