doc_id	page_no	tesseract_grade	tesseract_chars	gemini_chars	ratio
0276-6__0276-D04	5	mixed	1780	2185	1.23
0276-6__0276-D04	4	mixed	2243	2270	1.01
0047-2__0047-2-D08	33	mixed	492	74	0.15
0047-2__0047-2-D05	18	mixed	72	85	1.18
0047-2__0047-2-D05	20	mixed	538	74	0.14
0047-2__0047-2-D08	35	poor	26	72	2.77
0047-2__0047-2-D05	21	poor	23	86	3.74
0047-2__0047-2-D18	81	mixed	410	404	0.99
0047-2__0047-2-D19	82	clean	2170	2213	1.02
0047-2__0047-2-D08	36	poor	0	17	17.0
0047-2__0047-2-D33	135	mixed	74	115	1.55
0047-2__0047-2-D37	154	clean	1259	1301	1.03
0047-2__0047-2-D37	153	clean	2015	2033	1.01
0113-41__0113-S02	15	mixed	1232	1100	0.89
0113-41__0113-S02	14	mixed	1400	1456	1.04
0113-41__0113-S02	13	mixed	1293	1328	1.03
0113-41__0113-S02	17	mixed	1098	1118	1.02
0113-41__0113-S02	16	mixed	1286	1504	1.17
0113-41__0113-S02	21	mixed	1633	1611	0.99
0113-41__0113-S02	19	clean	1545	1541	1.0
0113-41__0113-S02	23	mixed	1728	1801	1.04
0113-41__0113-S02	18	mixed	1364	1212	0.89
0113-41__0113-S02	25	clean	1593	1604	1.01
0113-41__0113-S02	22	mixed	1711	1509	0.88
0113-41__0113-S02	24	mixed	1623	1571	0.97
0113-41__0113-S02	26	mixed	1285	1281	1.0
0185-2__0185-D04	57	poor	16	377	23.56
0185-2__0185-D11	199	mixed	298	320	1.07
0185-2__0185-D04	55	mixed	1024	1025	1.0
0185-2__0185-D11	197	mixed	2842	2875	1.01
0185-2__0185-D11	198	mixed	2234	2355	1.05
0185-2__0185-D11	200	mixed	1664	2155	1.3
0185-2__0185-D11	201	mixed	1848	2134	1.15
0185-2__0185-D11	205	poor	243	232	0.95
0185-2__0185-D11	204	poor	381	463	1.22
0185-2__0185-D11	207	poor	239	235	0.98
0185-2__0185-D11	206	poor	95	93	0.98
0185-2__0185-D11	202	mixed	31	1135	36.61
0185-2__0185-D11	208	poor	382	408	1.07
0185-2__0185-D11	209	poor	1458	1470	1.01
0185-2__0185-D11	210	poor	159	110	0.69
0185-2__0185-D11	212	poor	1119	1192	1.07
