score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url
58	3	American Jewish Historical Society	20038	Papers of Cecilia Razovsky	Razovsky, Cecilia, 1886-1968	undated, 1913-1971	1	1	2	0	0	10	3	70	Articles | Clippings (information artifacts) | Correspondence | Diaries | Fliers (printed matter) | Legal documents | Ma	eng | Latn | spa | Latn | por | Latn | ger | Latn | yid | Hebr | rus | Cyrl | The collection is in English, Spanish, Portuguese, German, Yiddish, and Russian.	https://archives.cjh.org/repositories/3/resources/20038
54	3	American Jewish Historical Society	6733	Morris “Moe” Berg Papers	Berg, Moe, 1902-1972	undated, 1924-1972 | 1930 -- 1960	1	0	3	0	0	2	0	0	Correspondence | Receipts (financial records) | Articles | Coin purses | Baseball cards	eng | Latn | ger | Latn | ita | Latn | jpn | Jpan | fre | Latn	https://archives.cjh.org/repositories/3/resources/6733
50	7	YIVO Institute for Jewish Research	3277	Jacob Mestel Papers	Mestel, Jacob, 1884-1958	1910-1958	1	0	2	0	0	4	5	1	Photographic prints | Poems | Scripts (documents) | Prompt books	yid | yid | eng | ger | pol | The collection is in Yiddish, English, German, and Polish.	https://archives.cjh.org/repositories/7/resources/3277
46	3	American Jewish Historical Society	19959	Florence Lowenstein Marshall (1873-1916) Diaries, 1890-1916; 2019	Marshall, Florence Lowenstein, 1873-1916 | Schweitzer, Peter H., (Rabbi)	1894 -- 1916 | 2019	1	0	1	2	0	3	0	0		eng | Latn	https://archives.cjh.org/repositories/3/resources/19959
41	3	American Jewish Historical Society	15651	Ray Frank Litman (1861-1948) Papers	Litman, Ray Frank, 1864 or 1865-1948	undated, 1879-1957	1	0	2	0	0	2	1	0	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Programs (documents) | Scrapbooks | Sermo	eng | Latn | ger | Latn | The collection is primarily in English, with some German.	https://archives.cjh.org/repositories/3/resources/15651
39	7	YIVO Institute for Jewish Research	19971	Shalom Schwarzbard Papers	Shṿartsbard, Shalom, 1886-1938	1891, 1912-1958 | 1920-1937	1	1	1	0	0	3	3	4	World War, 1914-1918 -- Personal narratives | Clippings (information artifacts) | Correspondence | Manuscripts (document	yid | fre | eng | ger | rus | heb | The collection is predominantly in Yiddish and French, with some English, German, Russian, and Hebrew, as well as individual items in Spanish, Polish, and Danish.	https://archives.cjh.org/repositories/7/resources/19971
37	3	American Jewish Historical Society	15533	Marvin Lowenthal, papers	Lowenthal, Marvin, 1890-1969	undated, 1871-1959	1	1	1	0	0	3	2	2	Correspondence | Diaries | Drafts (documents) | Journals | Memorabilia | Notes (documents) | Photographs | Reviews (docu	eng | Latn | fre | Latn | ger | Latn | yid | Hebr | The collection is in English, French, German, and Yiddish.	https://archives.cjh.org/repositories/3/resources/15533
35	3	American Jewish Historical Society	15595	Adolf Lorch (1883-1971) Papers	Lorch, Adolf, 1883-1971	1896-2013 | 1934 -- 1941	1	0	0	2	0	4	1	0	Correspondence | Official documents	eng | Latn | ger | Latn	https://archives.cjh.org/repositories/3/resources/15595
33	4	American Sephardi Federation	3622	Guide to the Papers of John Stern	Stern, John, 1926-1987	1924-2013 | 1945-1990	1	1	0	1	1	3	0	1	Diaries | Notebooks | Notes (documents) | Pamphlets | Publications (documents) | VHS	eng | eng | fre | spa | The collection is in English, French, and Spanish.	https://archives.cjh.org/repositories/4/resources/3622
32	3	American Jewish Historical Society	13258	Raphael Lemkin Collection	Lemkin, Raphael, 1900-1959	undated, [1763]-2002 | undated, 1941-1951	1	0	1	0	0	4	1	7	Articles | Clippings (information artifacts) | Correspondence | Political posters | Proceedings (reports) | Research (do	eng | Latn | fre | Latn | heb | Hebr | ger | Latn | pol | Latn | rus | Cyrl | spa | Latn | swe | Latn | nor | Latn | lit | Latn | The collection is in English, French, Hebrew, German, Polish, Russian, Spanish, Swedish, Norwegian, and Lithuanian.	https://archives.cjh.org/repositories/3/resources/13258
32	7	YIVO Institute for Jewish Research	527	Lucien Wolf and David Mowshowitch Papers	Wolf, Lucien, 1857-1930 | Mowshowitch, David, 1887-1957	1708-1963 | 1880-1930	1	1	0	0	1	4	6	2	World War, 1914-1918 -- Treaties | Diaries | Poems	eng | eng | eng | fre | ger | rus | yid | pol | heb | hun | The collection is in English, French, German, Russian, Yiddish, Polish, Hebrew, and Hungarian.	https://archives.cjh.org/repositories/7/resources/527
31	3	American Jewish Historical Society	1659	Mordecai Sheftall papers	Sheftall, Mordecai, 1735-1797	undated, 1761-1867, 1873, 1932, 1941 | 1977 -- 1978	1	0	0	1	1	4	0	4	Correspondence | Ledgers (account books) | Newspapers | Orderly books | Orders (military records) | Petitions | Purchase	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/1659
