score	repo_id	resource_id	title	origination	birth	death	max_year	birthplace	type_genre	genre_prose	ret_de	born_de	heimat	palestine_hit	ce_return_hit	german_places	emigre	langmaterial	geognames	genreform	snippet	url
84	7	3577	Nachman Zonabend Collection	Zonabend, Nachman			1947	unknown	0	39	9	0	1	0	0	9	52	The collection is in Polish, German, and Yiddish.	Litzmannstadt-Getto (Łódź, Poland) | Łódź (Poland)	Circulars (fliers) | Albums (books) | Photographs	Scope and Contents Supports a request by Golda W., who wishes to return to her hometown Lutomiersk. Note from the Ordnungsdienst about the arrest of the woman by the German police. Scope and Contents Rumkowski is responsible for the safety and good condition of the industrial installati	https://archives.cjh.org/repositories/7/resources/3577
76	7	3219	Papers of Philip Friedman				1993	unknown	0	57	7	0	0	0	0	19	115	The collection is in Yiddish, Hebrew, Polish, English, German, French, Russian, Ukrainian, Italian, Dutch, Spanish, Czec	Poland -- History -- Occupation, 1939-1945 | Europe | Germany | Israel | London (England) | Paris (France) | Poland | Soviet Union | Ukraine	Administrative reports | Correspondence | manuscripts (documents) | Minutes (administrative records) | clippings (information artifacts) | Notes (documents)		https://archives.cjh.org/repositories/7/resources/3219
74	3	15595	Adolf Lorch (1883-1971) Papers	Lorch, Adolf, 1883-1971	1883	1971	2013	german	0	3	0	3	1	0	0	4	0	English German	United States -- Emigration and immigration | New York (N.Y.) | Hudson (N.Y.)	Correspondence | Official documents	his help, including some relatives whom he had never met. Friends from Lorch's hometown of Dieburg also contacted him for assistance. Others who had no connection to Lorch at all wrote to him, having heard that he was willing to write affidavits. Several people were able to immigrate in	https://archives.cjh.org/repositories/3/resources/15595
71	7	3217	Papers of Shmuel Mordkhe Artur Zygielbojm				2018	unknown	0	163	6	0	0	1	0	6	88	The collection is in Yiddish and Polish, with some Russian, German, English, French, Hebrew, Spanish, Portuguese, Lithua	Poland -- Ethnic relations | London (England) | New York (N.Y.) | Poland	Administrative reports | Correspondence | clippings (information artifacts) | Posters		https://archives.cjh.org/repositories/7/resources/3217
66	6	61	Papers of Ludwig Yehuda Wolpert				1995	german	0	14	1	2	0	1	0	4	0	The collection is in English, Hebrew, and German.		clippings (information artifacts) | Correspondence | Photographs | publications (documents) | Works of art	dition to silver—aluminum and other metals, glass, plastic, wood, and textiles. Born in 1900 in Hildesheim, Germany, to a traditional Jewish family, Wolpert soon came to know and cherish his Jewish heritage. He developed an interest in art at an early age, and from 1916 until 1920, he studied sculpture in Frankfur	https://archives.cjh.org/repositories/6/resources/61
62	4	3622	Guide to the Papers of John Stern	Stern, John, 1926-1987	1926	1987	2013	german	0	3	1	1	0	0	0	3	2	The collection is in English, French, and Spanish.	Tangier (Morocco) | Rego Park (New York, N.Y.) | Spain | Tangier (Morocco) | Tétouan (Morocco)	Diaries | Notebooks | Notes (documents) | Pamphlets | publications (documents) | VHS	Biographical Note John (Hans Ulrich) Stern was born in Hamburg, Germany where he attended school until July 1933. Moving to Morocco with his parents, he attended French school in Casablanca from October 1933 until May 1935 and then a Spanish primary school in Te	https://archives.cjh.org/repositories/4/resources/3622
58	7	525	Papers of Horace Meyer Kallen				1970	german	0	4	0	2	0	1	0	5	12	The collection is in English, with some German, French and Yiddish, and with a small amount of Italian, Romanian, Spanis	Europe, Eastern | Israel | New York (N.Y.)	Correspondence | Financial records | manuscripts (documents) | clippings (information artifacts) | Photographs	Biographical Note Horace M. Kallen was born in Berenstadt, Silesia, Germany, on August 11, 1882. He was the son of Jacob David Kallen, a Hebrew scholar and Orthodox rabbi, and Esther Rebecca Glazier. He had six sisters, Ida, Dora, Mildred, Deborah, Frances, and Miri	https://archives.cjh.org/repositories/7/resources/525
57	3	6730	Ernest W. Michel (1923-2016) Papers	Michel, Ernest W., 1923-2016	1923	2016	1996	german	0	7	1	1	0	1	0	3	24	English Hebrew Yiddish German French Polish Romany Danish	Chicago (Ill.) | Michigan | New York (N.Y.) | Jerusalem	clippings (information artifacts) | Correspondence | Lectures | Photographs	Biographical Note Ernest Wolfgang Michel was born in Mannheim, Germany on July 1, 1923, to Otto, who owned a cigar factory, and Frieda (Wolff) Michel. In November of 1938, Michel's father was arrested during the deadly Kristallnacht pogrom. Michel's family tried to get	https://archives.cjh.org/repositories/3/resources/6730
53	3	19997	John Langeloth Loeb and Frances Lehman Loeb Family Papers	Lehman family | Loeb family | Bronfman family | Loeb, Frances Lehman, 1906-1996 | Loeb, John Langeloth, 1902- | Loeb, Rhoades & Co	1906	1996	1998	german	0	45	1	1	0	1	0	3	0	English	Cuba -- History | Havana (Cuba) | New York (State) -- Politics and government | Purchase (N.Y.) | Saranac Lake (N.Y.) | United States -- Biography | United States -- Politics and government	Artifacts (object genre) | Correspondence | Legal Correspondence | Photographs	ans, Lewisohns, Goldman, Sachs, Kuhns, Loebs, and Seligman families. Adolph was born in Hamburg, Germany in 1849 and immigrated to New York the same year that the Lehmans moved from Alabama to New York City: 1867. He was sixteen years old and came to the U.S. to help his mercantile brothers, fo	https://archives.cjh.org/repositories/3/resources/19997
51	7	22502	Papers of Andrea Simon				2017	unknown	0	50	1	0	1	1	0	4	42	Yiddish English Russian Belarusian Hebrew			"English translation of Shmuel Englender memories, ""The Summary of My Trip to My Home Town Volchin in Belarusia – June 1997."" \>Handwritten English translation of ""A Testimony of a citizen of the town Volchin and her name is Shpegina Vera Vladimirovna as told and taped to Shmuel Englender"	https://archives.cjh.org/repositories/7/resources/22502
