accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0001-1	G.F. 0001 / 1	אש ברונו	Asch Bruno	אש ברונו 1890-1940	Asch Bruno 1940-1890	חוברת		מקור	Original	קטגוריות: | .1 פעילות פוליטית	8 עמ'	לא מצוין	No Image ביוגרפיה						נרשם ב-יוני 2002	1 מתוך 2	נילי דוידסון		אין		הבת ,מרים פינר גייזנברג ,אליעזר בן יהודה ,16 רחובות		1,2
G-F-0001-2	G.F. 0001 / 2	אש ברונו	Asch Bruno			תמונת-צלום דיוקן		מקור	Original	קטגוריות: | .1 תמונות		ללא תאריך	No Image	-תצלום דיוקן של ברונו אש	גרמניה				נרשם ב-יוני 2002	2 מתוך 2	נילי דוידסון		אין		הבת ,מרים פינר-גייזנברג ,רחובות	העתק של תמונת הדיוקן מוצגת בתערוכת המוזיאון	3
G-F-0002-1	G.F. 0002 / 1	אופנהיימר ארנסט 1907-1987	Oppenheimer Ernst 1907-1987			מאמרים		העתק	Copy	נהריה | מסחר | פרסומים	3	1972 , 1968	No Image נהריה ,אופנבך-גרמניה	ארנסט אופנהיימר מתושביה הותיקים של נהריה ,בעליה	גרמניה -אופנבך				נרשם ב-יוני 2002	1 מתוך 2	נילי דוידסון		אין		אוסף שילוני		4,5
G-F-0002-2	G.F. 0002 / 2	אופנהיימר ארנסט 1907-1987	Oppenheimer Ernst 1907-1987			פרוזה ,בגרמנית ,כתוב במכונה		מקור	Original	ספרות	17 עמ'	1939	No Image 3 סיפורים קצרים בגרמנית	Anneliese Eulau-Felsenstein .Aus dem Zyklus :Jüdische	ציריך ,שוייץ				נרשם ב-יוני 2002	2 מתוך 2	נילי דוידסון		2001.119		האלמנה ,מריאנה אופנהיימר ,רח' ז'בוטינסקי ,11 נהריה	גב' אופנהיימר מצאה את הפרוזה בעיזבון בעלה או אחיה המנוח .אינה יודעת איך זה הגיע לשם.	6,7
G-F-0003-1	G.F. 0003 / 1	בוק היינץ & סימון & גאורג				תעודות ומסמכים ,הרייך השלישי		מקור ,העתק	Original, Copy	"היינץ בוק ,יליד ,1907 אישתו הראשונה ,הילדגרד )הילדה(, | נספתה בשואה .אישתו השניה ,גוסטה  -גושי .אחרי מעצר | בסכסנהאוזן הגר לאנגליה שם שהה במחנה קיטשנר  ,על | האניה ""דונרה"" ,הועבר למחנות העצירים לאוסטרליה ,שם | הכיר את ישראל שילוני .היה פעיל ואהוד על העצירים. | בהיותו אדם דתי ,ארגן ודאג לחיי דת ומסורת במחנה. | גאורג בוק יליד  ,1900 בן דודו,של היינץ ,אשתו מרי .גם | הוא היה עצור בסכסנהאוזן .המשפחה היגרה ברייך | השלישי לאנגליה. | קטגוריות: | הרייך השלישי | מחנות מעצר | הגירה | אירגונים | תעודות אישיות | מלח""ע I | תמונות"		1903-1948	No Image אישיים ,הגירה ,אירגוני עזרה ליהודים	.1 כרטיסים ממשרד הרווחה של הקהילה היהודית ,בברלין	גרמניה		נערך חלקית ,ראה בתיק	מסמכים	נרשם ב-יולי 2002	1 מתוך 3	נילי דוידסון		אין		אוסף שילוני		8,9,10,11,12,13
G-F-0003-2	G.F. 0003 / 2	בוק היינץ & סימון & גאורג								קטגוריות: | .1 מחנות מעצר *אוסטרליה			No Image	-שלט מקרטון מצויר וצבוע עליו כתוב Jüdische					נרשם ב 15.05.2012-		נילי דוידסון		אין		אוסף ישראל שילוני		7231
G-F-0003-3	G.F. 0003 / 3	בוק היינץ & סימון & גאורג		מחנות מעצר באוסטרליה				מקור	Original	קטגוריות: | .1 אמנות *שתי עבודות נגרות קטנות.			No Image	-שתי עבודות עץ קטנות ,שבוצעו המחנה המעצר					15.05.2012		נילי דוידסון		אין		אוסף ישראל שילוני		7232,7233
G-F-0004	G.F.0004	כהן גרטל & ריכרד				ספר אורחים		מקור	Original	"""פנסיון כהן"" בנהריה נפתח ב 1939-היה בבעלותם של | גרטל וריכרד כהן ,נסגר ב .1967-הבית והגינה הגדולה היו | בפינת הרחובות שדרות הגעתון ורחוב ז'בוטינסקי .הבית | נהרס ובמקומו הוקם בית קומות. | קטגוריות: | נהריה | מסחר | מנהגים | תמונות | ספרות"	שני ספרים	1953-1967 ; 1949-1953	No Image אורחים כתבו +ציורים +תמונות	.1 ספר אורחים :1949-1953 אורחים רושמים רשימות,					נרשם ב-יולי 2002	1 מתוך 1	נילי דוידסון		0		אנדריאס מאייר ,כפר ורדים	מר אנדראס מאייר יודע שהיה ספר שלישי ,כפי הנראה הספר הראשון ,כל מאמציו למציאת הספר עלו בתוהו.	14,15
G-F-0005-1	G.F. 0005 / 1	הקר מקס	Hecker Max			זכרונות		העתק ,הדפסה ,תרגום לעברית	Copy, Printing, Translation to Hebrew	"גב' לאה אלון )התורמת( בתם של מקס מרדכי הקר ,יליד | , 1879 וחנה פרידה לבית מוזס ,ילידת  , 1881 תרגמה | לעברית והדפיסה את זכרונות אמה אותם כתבה משלהי | נעוריה ועד  ,1943 כמו כן הדפיסה את הגרסה הגרמנית. | גב' אלון תרגמה לעברית והדפיסה גם את זכרונות אביה, | מקס הקר ,יליד קראקוב ,מהנדס בנין ,אחיו של האדריכל, | וילהלם הקר ,אותם כתב ב ,1954-ואת הגירסה הגרמנית | גם כן הדפיסה. | שמות :ריינס ,מוזס ,הקר ,לוטה כהן ,גוסטה גאורג בוק, | יוסף לוי ,אליאס אורבך ,הרמן שטרוק. | ,Reines ,Moses ,Hecker ,Lotte Cohn ,Gusta Georg Bock. | Josef Loewy ,Elias Auerbach ,Hermann Struck | מקומות :טפיאו ,קניגסברג ,ברסלאו ,גלייויץ ,ברלין, | בודנזה ,האלה. | ,Tpiau ,Königsberg ,Breslau ,Gleiwitz ,Berlin ,Bodensee. | Halle | מנוסקריפט לזכרה של לוטה אנגל לבית הקר ,בגרמנית | ועברית ומודפס. | קטגוריות: | ביוגרפיה | משפחה | קהילה | מנהגים | מסורת | חינוך | עלייה | פלסטינה | התיישבות | מלח""ע I | מקצועות חופשיים | ישראל | ספרות | פרסומים"		1881-1974	No Image קורותיה של משפחה יהודית שעלתה פעמיים לפלסטינה.	מתוך הזכרונות של חנה פרידה הקר:	פולין ,וינה ,גרמניה ,פלשתינה ,ישראל		אילן יוחסין של ריינוס ,מוזס ,הקר		נרשם ב -יולי 2002	כרטיס 1 מתוך 3	נילי דוידסון		2000.003		לאה אלון ,רח' המייסדים ,11 נתניה	בין דפי הזכרונות בגרמנית משובצות תמונות משפחתיות של משפחת מוזס והקר	16,17,18
G-F-0005-2	G.F. 0005 / 2	הקר מקס	Hecker Max					מקור ,העתק ,הדפסה ,תרגום לעברית	Original, Copy, Translation to Hebrew	"קטגוריות: | .1 מלח""ע I | .2 שירה | .3 הנצחה | .4 פעילות תרבותית *מחקריו של אודו מוזס | .5 כתיבה אישית | .6 תולדות משפחה *אילן יוחסין | .7 תמונות | .8 מדעים *עבודתו של המהנדס מקס הקר"			No Image	-צילום של אילן היוחסין של משפחות :ריינס ,מוזס ,הקר.					נרשם יולי 2002	כרטיס 2 מתוך 3	נילי דוידסון		2000.003		לאה אלון ,הבת ,נתניה		3856,3857,3858
G-F-0005-3	G.F. 0005 / 3	הקר מקס	Hecker Max					מקור ,העתק ,הדפסה ,תרגום לעברית	Original, Copy, Translation to Hebrew	"קטגוריות: | .1 תולדות משפחה | .2 מלח""ע I | .3 התכתבות | .4 שירה"			No Image	-מחברת השירים של יוהנה מוזס לבית ריינוס .כתבה					נרשם ב-יולי 2002	כרטיס 3 מתוך 3	נילי דוידסון		2000.003		לאה אלון ,רח' המייסדים ,נתניה	לתיק מס G.F. 0005 / 2 .יש שני כרטיסים תחת אותו מספר -החומר נמצא בתיק אחד	97,98
G-F-0006	G.F.0006	ורטהיימר סטף	Wertheimer Stef					העתק	Copy	קטגוריות: | משפחה | מסחר | ישראל			No Image	-צילום מכתב המלצה ,שנתנה אמו ,של סטף ורטהיימר	גרמניה ,קיפנהיים				31.08.2002	1 מתוך 1	נילי דוידסון		אין		אוסף שילוני		19,20
