folder_key	item_count	sample_item_id
G-F-0008-3	3	IL-MTFN-001-G-F-0008-003-R0001
G-F-0030	1	IL-MTFN-001-G-F-0030- 35-R0001
G-F-0030-10	16	IL-MTFN-001-G-F-0030-010-R0001
G-F-0030-11	15	IL-MTFN-001-G-F-0030-011-R0001
G-F-0030-12	15	IL-MTFN-001-G-F-0030-012-R0001
G-F-0030-13	9	IL-MTFN-001-G-F-0030-013-R0001
G-F-0030-14	15	IL-MTFN-001-G-F-0030-014-R0001
G-F-0030-15	11	IL-MTFN-001-G-F-0030-015-R0001
G-F-0030-16	1	IL-MTFN-001-G-F-0030-016-R0001
G-F-0030-17	22	IL-MTFN-001-G-F-0030-017-R0001
G-F-0030-18	14	IL-MTFN-001-G-F-0030-018-R0001
G-F-0030-20	1	IL-MTFN-001-G-F-0030-020-R0001
G-F-0030-21	8	IL-MTFN-001-G-F-0030-021-R0001
G-F-0030-22	10	IL-MTFN-001-G-F-0030-022-R0001
G-F-0030-23	1	IL-MTFN-001-G-F-0030-023-R0001
G-F-0030-24	4	IL-MTFN-001-G-F-0030-024-R0001
G-F-0030-25	15	IL-MTFN-001-G-F-0030-025-R0001
G-F-0030-27	12	IL-MTFN-001-G-F-0030-027-R0001
G-F-0030-28	7	IL-MTFN-001-G-F-0030-028-R0001
G-F-0030-29	2	IL-MTFN-001-G-F-0030-029-R0001
G-F-0030-3	1	IL-MTFN-001-G-F-0030-003-R0001
G-F-0030-30	7	IL-MTFN-001-G-F-0030-030-R0001
G-F-0030-31	12	IL-MTFN-001-G-F-0030-031-R0001
G-F-0030-32	18	IL-MTFN-001-G-F-0030-032-R0001
G-F-0030-33	12	IL-MTFN-001-G-F-0030-033-R0001
G-F-0030-34	12	IL-MTFN-001-G-F-0030-034-R0001
G-F-0030-35	5	IL-MTFN-001-G-F-0030-035-R0001
G-F-0030-36	2	IL-MTFN-001-G-F-0030-036-R0001
G-F-0030-37	10	IL-MTFN-001-G-F-0030-037-R0001
G-F-0030-38	11	IL-MTFN-001-G-F-0030-038-R0001
G-F-0030-39	21	IL-MTFN-001-G-F-0030-039-R0001
G-F-0030-4	4	IL-MTFN-001-G-F-0030-004-R0001
G-F-0030-40	18	IL-MTFN-001-G-F-0030-040-R0001
G-F-0030-41	6	IL-MTFN-001-G-F-0030-041-R0001
G-F-0030-42	3	IL-MTFN-001-G-F-0030-042-R0001
G-F-0030-43	14	IL-MTFN-001-G-F-0030-043-R0001
G-F-0030-44	3	IL-MTFN-001-G-F-0030-044-R0001
G-F-0030-45	21	IL-MTFN-001-G-F-0030-045-R0001
G-F-0030-46	1	IL-MTFN-001-G-F-0030-046-R0001
G-F-0030-47	1	IL-MTFN-001-G-F-0030-047-R0001
G-F-0030-48	11	IL-MTFN-001-G-F-0030-048-R0001
G-F-0030-49	5	IL-MTFN-001-G-F-0030-049-R0001
G-F-0030-5	13	IL-MTFN-001-G-F-0030-005-R0001
G-F-0030-50	7	IL-MTFN-001-G-F-0030-050-R0001
G-F-0030-51	5	IL-MTFN-001-G-F-0030-051-R0001
G-F-0030-52	1	IL-MTFN-001-G-F-0030-052-R0001
G-F-0030-53	1	IL-MTFN-001-G-F-0030-053-R0001
G-F-0030-54	7	IL-MTFN-001-G-F-0030-054-R0001
G-F-0030-55	15	IL-MTFN-001-G-F-0030-055-R0001
G-F-0030-56	7	IL-MTFN-001-G-F-0030-056-R0001
G-F-0030-57	31	IL-MTFN-001-G-F-0030-057-R0001
G-F-0030-59	2	IL-MTFN-001-G-F-0030-059-R0001
G-F-0030-6	22	IL-MTFN-001-G-F-0030-006-R0001
G-F-0030-60	5	IL-MTFN-001-G-F-0030-060-R0001
G-F-0030-61	5	IL-MTFN-001-G-F-0030-061-R0001
G-F-0030-62	4	IL-MTFN-001-G-F-0030-062-R0001
G-F-0030-7	1	IL-MTFN-001-G-F-0030-007-R0001
G-F-0030-8	12	IL-MTFN-001-G-F-0030-008-R0001
G-F-0030-9	6	IL-MTFN-001-G-F-0030-009-R0001
G-F-0041-2	1	IL-MTFN-001-G-F-0041-002-R0001
G-F-0041-3	2	IL-MTFN-001-G-F-0041-003-R0001
G-F-0044-10	1	IL-MTFN-001-G-F-0044-010-R0001
G-F-0044-11	1	IL-MTFN-001-G-F-0044-011-R0001
G-F-0044-12	4	IL-MTFN-001-G-F-0044-012-R0001
G-F-0044-13	2	IL-MTFN-001-G-F-0044-013-R0001
G-F-0044-14	9	IL-MTFN-001-G-F-0044-014-R0001
G-F-0044-2	6	IL-MTFN-001-G-F-0044-002-R0001
G-F-0044-4	5	IL-MTFN-001-G-F-0044-004-R0001
G-F-0044-5	1	IL-MTFN-001-G-F-0044-005-R0001
G-F-0044-6	13	IL-MTFN-001-G-F-0044-006-R0001
G-F-0044-7	29	IL-MTFN-001-G-F-0044-007-R0001
G-F-0044-8	27	IL-MTFN-001-G-F-0044-008-R0001
G-F-0044-9	23	IL-MTFN-001-G-F-0044-009-R0001
G-F-0046-3	5	IL-MTFN-001-G-F-0046-003-R0001
G-F-0047-50	12	IL-MTFN-001-G-F-0047-050-R0001
G-F-0053-2	9	IL-MTFN-001-G-F-0053-002-R0001
G-F-0053-3	10	IL-MTFN-001-G-F-0053-003-R0001
G-F-0053-4	5	IL-MTFN-001-G-F-0053-004-R0001
G-F-0053-5	22	IL-MTFN-001-G-F-0053-005-R0001
G-F-0070-10	20	IL-MTFN-001-G-F-0070-010-R0001
G-F-0070-11	1	IL-MTFN-001-G-F-0070-011-R0001
G-F-0070-12	7	IL-MTFN-001-G-F-0070-012-R0001
G-F-0070-13	1	IL-MTFN-001-G-F-0070-013-R0001
G-F-0070-14	1	IL-MTFN-001-G-F-0070-014-R0001
G-F-0070-15	2	IL-MTFN-001-G-F-0070-015-R0001
G-F-0070-16	4	IL-MTFN-001-G-F-0070-016-R0001
G-F-0070-17	1	IL-MTFN-001-G-F-0070-017-R0001
G-F-0070-18	6	IL-MTFN-001-G-F-0070-018-R0001
G-F-0070-19	7	IL-MTFN-001-G-F-0070-019-R0001
G-F-0070-2	2	IL-MTFN-001-G-F-0070-002-R0001
G-F-0070-22	6	IL-MTFN-001-G-F-0070-022-R0001
G-F-0070-23	1	IL-MTFN-001-G-F-0070-023-R0001
G-F-0070-24	9	IL-MTFN-001-G-F-0070-024-R0001
G-F-0070-25	3	IL-MTFN-001-G-F-0070-025-R0001
G-F-0070-26	1	IL-MTFN-001-G-F-0070-026-R0001
G-F-0070-27	1	IL-MTFN-001-G-F-0070-027-R0001
G-F-0070-28	1	IL-MTFN-001-G-F-0070-028-R0001
G-F-0070-29	2	IL-MTFN-001-G-F-0070-029-R0001
G-F-0070-3	4	IL-MTFN-001-G-F-0070-003-R0001
G-F-0070-30	9	IL-MTFN-001-G-F-0070-030-R0001
G-F-0070-31	9	IL-MTFN-001-G-F-0070-031-R0001
G-F-0070-32	1	IL-MTFN-001-G-F-0070-032-R0001
G-F-0070-4	3	IL-MTFN-001-G-F-0070-004-R0001
G-F-0070-6	6	IL-MTFN-001-G-F-0070-006-R0001
G-F-0070-8	1	IL-MTFN-001-G-F-0070-008-R0001
G-F-0070-9	2	IL-MTFN-001-G-F-0070-009-R0001
G-F-0071-2	7	IL-MTFN-001-G-F-0071-002-R0001
G-F-0071-3	2	IL-MTFN-001-G-F-0071-003-R0001
G-F-0077-2	1	IL-MTFN-001-G-F-0077-002-R0001
G-F-0086-0	5	IL-MTFN-001-G-F-0086-0000086-R0001
G-F-0093-10	1	IL-MTFN-001-G-F-0093-010-R0001
G-F-0093-11	1	IL-MTFN-001-G-F-0093-011-R0001
G-F-0093-12	1	IL-MTFN-001-G-F-0093-012-R0001
G-F-0093-14	1	IL-MTFN-001-G-F-0093-014-R0001
G-F-0093-2	1	IL-MTFN-001-G-F-0093-002-R0001
G-F-0093-3	10	IL-MTFN-001-G-F-0093-003-R0001
G-F-0093-4	2	IL-MTFN-001-G-F-0093-004-R0001
G-F-0093-5	4	IL-MTFN-001-G-F-0093-005-R0001
G-F-0093-6	8	IL-MTFN-001-G-F-0093-006-R0001
G-F-0093-8	4	IL-MTFN-001-G-F-0093-008-R0001
G-F-0094-2	1	IL-MTFN-001-G-F-0094-002-R0001
