accession_id	accession_raw	artist	artist_en	work_title	work_title_en	technique	technique_en	description	item_type	item_type_en	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
E-B-0001	E.B.0001	עמירן דוד	Amiran David		Problem of Agricultural use of dessert							1970	No Image		Revista Geografika Brazil			חברה	חברה A /		נילי דוידסון						566
E-B-0002	E.B.0002	ארלוזורוב חיים	Arlosoroff Chaim		A tribute to the Palestine pioneer movement Hechalutz						118	1928	No Image		?			ארץ ישראל	ארץ ישראל A /		נילי דוידסון						567
E-B-0003	E.B.0003	אמברוז קנט	Ambrose Kenneth		The suitcase in the garage			הכתב חקר את תולדות משפחתו | Letters and Photographs of a german jewish family 1800- | 1950			380	1951	No Image		?			ביוגרפיות	ביוגרפיות A /		נילי דוידסון						569
E-B-0004	E.B.0004	ארנולד פאולה	Arnold Paula		Israel Nature Notes						148	1965	No Image		Shalit Verlag ,Haifa			ארץ ישראל	ארץ ישראל A /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						596
E-B-0005	E.B.0005	ברגהאן ו .ר.	Berghahn V.R.		Society, Economy and Politics in the Twentieth Cetury						341	1988	No Image                                                          מהדורה 3		Cambridge University Press			היסטוריה כללית	היסטוריה כללית B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						675
E-B-0006	E.B.0006	ביין אלכסנדר	Bein Alexander		Some early Herzl Letters							1958	No Image		Herzl Press ,New York			ציונות	ציונות B /		נילי דוידסון						679
E-B-0007	E.B.0007	בק קליין גרטה	Beck Klein Grete		Never Forget						127	?	No Image		?			יומנים ומכתבים	יומנים ומכתבים B /		נילי דוידסון						686
E-B-0008	E.B.0008	ביין אלכסנדר	Bein Alexander		Israel's Charter of Freedom			Published by the youth and hechalutz department of the | zionist organisation			38	1949	No Image		"הוצאה ראה ב""תאור היצירה"""			ציונות	ציונות B /		נילי דוידסון						696
E-B-0009	E.B.0009	בן-חורין שלום	Ben-Chorin Shalom		Central conference american Rabbis journal						5	1968	No Image		.Marstin Press ,N .Y			מדעי היהדות	מדעי היהדות B /		נילי דוידסון						697
E-B-0010	E.B.0010	רייפן דוד	Reifen David		The Juvenile court in a chanching society			צילומי דפים מתוך הספר | Dr. David Reifen				1973	No Image		Weidenfeld and Nicolson			חברה  /משפט	ארכיון תיק G.F.0261		נילי דוידסון				"הבת ,ד""ר יהודית רייפן"	הקים את בית המשפט הראשון לנוער בארץ ישראל	726
E-B-0011	E.B.0011	בנטוויטש מרג'רי & נורמן			The Pilgrim Father / Herbert Bentwich						232	1940	No Image		הוצאה פרטית			ביוגרפיות	ביוגרפיות B /		נילי דוידסון					Widmung: An Leo Bloch vonCarl Sternberg	738
E-B-0012	E.B.0012	בארט אהרון	Barth Aron		The creation in the light of modern science, mador dati			Printed in Israel under the auspices of the publishing | department of the Jewish Agency Jerusalem				1968	No Image					חינוך	",G.F.0059 עזבון ד""ר בארט"		נילי דוידסון						769
E-B-0013	E.B.0013	בינג אדוארד	Bing Eduard		List of the originar etchings of E.M. Lilien			Dr. Eduard J. Bing			80	1922	No Image		Benjamin Harz ,Berlin Vienna			אמנות	אמנות B /		נילי דוידסון						793
E-B-0014	E.B.0014	בלר סלבן	Beller Sleven		Theodor Herzl and Austria a century leter						50	?	No Image		Verlag Zion ,Wien			ביוגרפיות	ביוגרפיות B /		נילי דוידסון						820
E-B-0015	E.B.0015	בן-חורין שלום	Ben-Chorin Shalom		Progressive Judaism in Israel			Central Conference Amer. Rabbis Jurnal			?	1968	No Image		?			מדעי היהדות	מדעי היהדות B /		נילי דוידסון						828
E-B-0016	E.B.0016	בן-חורין שלום	Ben-Chorin Shalom	נחמו נחמו עמי							41	1943	No Image		Romema Publication			מדעי היהדות	מדעי היהדות B /		נילי דוידסון						832
E-B-0017	E.B.0017	ללא			The Jewish Agency - Youth Aliyah						58	1979	No Image		חוברת Bulletin			חינוך נוער וספורט	ארכיון G.F.0248/1		נילי דוידסון		2005.314		"ד""ר אלי פרוינד"		606
E-B-0018	E.B.0018	בובר מרטין	Buber Martin		Moses						226	1956	No Image		East &West Library ,London			פילוסופיה	פילוסופיה B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						1122
E-B-0019	E.B.0019	ברויאר יוסף	Breuer Joseph		The Jewish Marriage / Source of Sanctity						67	1956	No Image		Philipp Feldheim Verlag ,New-York			מדעי היהדות	מדעי היהדות B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(					"אקסליבריס :מספרי ד""ר הנס גולדמן"	1181
E-B-0020	E.B.0020	בוטום פיליס	Bottome Phyllis		Apostle of Freedom			Bottom Phyllis & Alfred Adler			279	?	No Image		Faber and Faber Verlag ,London			פסיכולוגיה	פסיכולוגיה B /		מרים פולין )מתוך קטלוג גדעון בוטש(						1197
E-B-0021	E.B.0021	רוזנטל גבריאלה	Rosenthal Gabriella		In and around Jarusalem			Drawings and Articles by Gabriella Rosenthal			118	1982	No Image		Tebo Press-Seattle			אמנות	אמנות R /		נילי דוידסון		2005.338		גב' ברכה דוד ,כפר ורדים	מספרית אמה  -גב' שושנה שבטן	1223
E-B-0022	E.B.0022	בנטוויטש נורמן	Bentwich Norman		Ben Schemen, a Children Village in Israel						104	?	No Image		Jerusalem Post Press Verlag ,Jerusalem			חינוך נוער וספורט	חינוך נוער וספורט B /		מרים פולין )מתוך קטלוג גדעון בוטש(						1275
E-B-0023	E.B.0023	בן-חורין שלום	Ben-Chorin Shalom		Nachamu Nachamu Ami / Comfort Ye, Comfort Ye My			Ben-Chorim Schalom & Sloan Georg L.B. a Jewish and a | Christian Comment on the war			41	1943	No Image		Romema-Publications Verlag ,Jerusalem			מדעי היהדות	מדעי היהדות B /		מרים פולין )מתוך קטלוג גדעון בוטש(					""" Niru Nir"" 8"	1279
E-B-0024	E.B.0024	ביין אלכסנדר	Bein Alexander					Hrsg.: Alexander Bein			332	1971	No Image		Weidenfeld and Nicolson Verlag ,Jerusalem/London			ציונות	ציונות B /		נילי דוידסון )מתוך קטלוג גדעון בוטש(						1318
E-B-0025	E.B.0025	כהן ישראל	Cohen Israel		Travels in Jewry						372	1953	No Image		E.P. Dutton &Co .New York			ציונות	ציונות C /		נילי דוידסון					בספר דיוקן המחבר | Mit ein Porträt des Verfassers	1385
