section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
023-S01	UNCATALOGED	942484	1	32	-	(unverified) opening of a diary	(unverified — German handwriting fragments)	unknown	German	TBD	unknown	no	?	**Needs facsimile check.** Originally split as pp 1-3 fragment + gap 4-32; per user feedback, pp 1-32 may be one continuous diary section (likely Leoni's 1924 travel diary). OCR for most of this range is empty.
023-S02	UNCATALOGED	942484	33	51	33	ספר האוסף / Accession Register	Accession Register pages (Tefen Museum)	Tefen Museum (holding institution)	Hebrew/English	ArchivalRecord	1922-1929 (entries refer to)	no	no	Inventory pages from the Tefen Museum's accession book (IL-MTFN = Mishkan Tefen). Archival apparatus, not Landsberg content — likely should NOT be catalogued as a collection item. Corrected from earlier mis-attribution to the Zionist Archive (Jerusalem).
023-S03	R0007	942484	52	53	52	דוחות שנכתבו ע"י ד"ר אלפרד לנדסברג — דוח על אלכסנדריה וקהיר 25.09.1924	Bericht über Alexandria und Kairo, 25.9.1924	Alfred Landsberg	German	Report	1924-09-25	yes	yes	First Bericht; written en route / on arrival in Egypt. Heimat axis (Wiesbaden → diaspora).
023-S04	R0007	942484	54	63	-	(המשך) דוח על אלכסנדריה וקהיר	(cont.) Bericht Alexandria/Kairo	Alfred Landsberg	German	Report	1924-09-25	yes	yes	Body of S03; continues to next divider.
023-S05	R0007	942484	64	64	64	דוח על הפעילות הציונית של יהודי מצרים	2. Reisebericht: Zionist activity of Egyptian Jews	Alfred Landsberg	German	Report	1924-09-25	yes	yes	Divider page.
023-S06	R0007	942484	65	74	-	(המשך) דוח 2 — מצרים	(cont.) 2. Reisebericht	Alfred Landsberg	German	Report	1924	yes	yes	Body of 2nd report.
023-S07	UNCATALOGED	942484	75	75	75	תיאורי הנסיעה מירושלים לתל אביב 19.10.1924	Reisebericht Jerusalem→Tel Aviv, 19.10.1924	Alfred Landsberg	German	Report	1924-10-19	partial	yes	Divider; may belong with R0007 grouping but is a distinct report. Heimat-relevant (German-Jewish perspective on Yishuv).
023-S08	UNCATALOGED	942484	76	80	-	(המשך) ירושלים → תל אביב	(cont.) Merchawia, 19.10.24	Alfred Landsberg	German	Report	1924-10-19	partial	yes	From "Merchawia, den 19.Oktober 24, Liebe Freunde!" onward.
023-S09	UNCATALOGED	942484	81	81	81	דוח על ביקור בירושלים ושכונותיה החדשות, חיפה 8.10.1924	Bericht Jerusalem, Haifa 8.10.1924	Alfred Landsberg	German	Report	1924-10-08	partial	yes	Divider.
023-S10	UNCATALOGED	942484	82	86	-	(המשך) ירושלים — חיפה	(cont.) Haufe, 8. Oktober 1924	Alfred Landsberg	German	Report	1924-10-08	partial	yes	Body.
023-S11	UNCATALOGED	942484	87	89	-	הגעה לתל אביב — קבלת פנים ע"י גרדה ארלוזורוב	Tel Aviv arrival — reception by Gerda Arlosoroff	Alfred Landsberg	German+Hebrew	Report	1924	partial	yes	Crosses Hebrew-translation pages and German Ankunft narrative.
023-S12	R0004	942484	90	98	90	דוחות 1932 — III. Bericht (מגדיאל)	1932 Reports — III. Bericht (Magdiel, 14. März)	Alfred Landsberg	German	Report	1932-03-14	yes	yes	Divider "דוחות 1932"; Bericht III opens at p0095. PI-confirmed Heimat-relevant.
023-S13	R0004	942484	99	101	99	IV. Bericht (14. März 1932)	IV. Bericht	Alfred Landsberg	German	Report	1932-03-14	yes	yes	Continuation; Tel Aviv/Yishuv conditions.
023-S14	R0004	942484	102	106	102	V. Bericht — Ein Ausflug nach Jerusalem	V. Bericht — Jerusalem excursion	Alfred Landsberg	German	Report	1932	yes	yes	With Rosenblüth and Krojanker; meets Ussishkin.
023-S15	R0004	942484	107	109	107	VI. Bericht — Biram-Schule (Haifa)	VI. Bericht — Biram school	Alfred Landsberg	German	Report	1932	yes	yes	-
023-S16	R0004	942484	110	113	110	VII. Bericht — Emek, Ein Charod, Tel Yosef	VII. Bericht — Emek, Ein Charod, Tel Yosef	Alfred Landsberg	German	Report	1932	yes	yes	This is the section already featured in mockups/landsberg-deutschlandfahrt.
023-S17	R0005	942484	117	117	117	1951 — נסיעתו של ישראלי לגרמניה	1951 — Deutschlandfahrt eines Israeli (title page)	Alfred Landsberg	German+Hebrew	Egodocument	1951	yes	yes	Divider; opens the postwar Germany trip. Heimat-axis core.
023-S18	R0005	942484	118	121	-	(המשך) Deutschlandfahrt eines Israeli — סקירה ראשונה	Deutschlandfahrt — first survey	Alfred Landsberg	German	Egodocument	1951	yes	yes	Includes 2011 cover note from daughter Karla (p0118).
023-S19	R0005	942484	127	127	127	מתוך נסיעה בגרמניה של ישראלי — סקירה שניה	Deutschlandfahrt — zweite Skizze	Alfred Landsberg	German	Egodocument	1951	yes	yes	Sketch II.
023-S20	R0005	942484	133	133	133	חיבור — ברלין 1956	Berlin 1956 (essay)	Alfred Landsberg	German	Essay	1956	yes	yes	-
023-S21	R0005	942484	148	148	148	נסיעה לברלין המזרחית (1959?)	Eine Fahrt nach Ostberlin (1959?)	Alfred Landsberg	German	Essay	1959?	yes	yes	Date uncertain.
023-S22	UNCATALOGED	942484	165	165	165	הודעת ההסתדרות הציונית בגרמניה על פרסום דוח לנדסברג, מאי 1932	ZVfD announcement of Landsberg's report publication, May 1932	ZVfD (Zionist Federation of Germany)	German+Hebrew	OrgAnnouncement	1932-05	no	yes	Mentioned in subseries description but not as a discrete R-item. Candidate to catalog.
023-S23	R0001	942484	167	167	167	חומרים שנכתבו ע"י לאוני פרנק-לנדסברג	Materials by Leoni Frank-Landsberg (section divider)	-	Hebrew	SectionDivider	-	yes	-	Internal divider opening Leoni-authored materials.
023-S24	R0001	942484	168	172	168	1924 — חיבור על האניה בדרך לאלכסנדריה	1924 — Essay on the ship to Alexandria	Leoni Frank-Landsberg	German	Essay	1924	yes	yes	Leoni's first 1924 piece.
023-S25	R0002	942484	173	173	173	סיכום מתורגם של יומן הנסיעות למצרים וא"י 1924	Hebrew summary of 1924 Egypt/Eretz-Israel travel diary	Leoni Frank-Landsberg / tr. daughter Chava	Hebrew (tr. from German)	TravelDiary	1924 (tr. 1982)	yes	yes	Title page.
023-S26	R0002	942484	174	186	-	(המשך) תרגום יומן נסיעה למצרים ופלסטינה 1924	(cont.) Hebrew translation of 1924 travel diary	Leoni / tr. Chava	Hebrew	TravelDiary	1924/1982	yes	yes	Body, including ship arrival Sept 14 1924.
023-S27	UNCATALOGED	942484	187	194	-	תרגום יומן נסיעה לאמריקה 1925	Hebrew translation of 1925 USA travel diary	Leoni / tr. Chava	Hebrew	TravelDiary	1925/1982	partial	yes	R0003 catalogs the envelope/photo of the diary; this is the actual translated content. Includes Weizmann meeting (p0191).
023-S28	UNCATALOGED	942484	199	200	199	1928 — זכרונות על ויצמן	1928 — Memoirs of Weizmann meetings (Wiesbaden 1921)	Leoni Frank-Landsberg / tr. Chava	Hebrew (tr. from German)	Memoir	1928 (tr. later)	no	yes	"בויסבדן וGER" — explicit Wiesbaden (Heimat) anchor. Strong candidate for new catalog item.
023-S29	UNCATALOGED	942484	274	274	-	German fragment (lone page)	Warenhersbetrieb bei Macg-Modenschau — German fragment	unknown	German	Fragment	unknown	no	no	Isolated page; check facsimile for context (likely belongs to a larger unscanned section or is a stray sheet).
