resource_template_label,item_set_id,resource_class_term,is_public,dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0003-002-R0001,IL-MTFN-001-G-F-0003-002,Jüdische Gemeinde Sign from Australian Camp,שלט מקרטון מצויר וצבוע עליו כתוב Jüdische Gemeinde. השלט שמור מאחורי זכוכית ממוסגרת (כתמונה). השלט הוכן ושימש את העצורים היהודים במחנה באוסטרליה. השלט הוצג במוזיאון תפן עד עיצוב המוזיאון מחדש ב-2004-2005.,Ein bemaltes und gefärbtes Kartonschild mit der Aufschrift Jüdische Gemeinde. Das Schild wird hinter gerahmtem Glas (wie ein Bild) aufbewahrt. Das Schild wurde von den jüdischen Häftlingen im Lager in Australien vorbereitet und verwendet. Das Schild wurde im Tefen Museum bis zur Neugestaltung des Museums in den Jahren 2004-2005 ausgestellt.,A painted and colored cardboard sign with the inscription Jüdische Gemeinde. The sign is preserved behind framed glass (like a picture). The sign was prepared and used by the Jewish detainees in the camp in Australia. The sign was displayed in the Tefen Museum until the redesign of the museum in 2004-2005.,German,אלמנט גרפי|Graphic Element,drawing,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0003-003-R0001,IL-MTFN-001-G-F-0003-003,Two small woodworks from Australian detention camp,שתי עבודות עץ קטנות שבוצעו המחנה המעצר באוסטרליה. העבודות הוצגו במוזיאון תפן עד 2004-2005 עת עיצוב המוזיאון מחדש.,"Zwei kleine Holzarbeiten, die im Internierungslager in Australien ausgeführt wurden. Die Arbeiten wurden bis 2004-2005 im Tefen Museum ausgestellt, als das Museum neu gestaltet wurde.",Two small woodworks made in the detention camp in Australia. The works were displayed in the Tefen Museum until 2004-2005 when the museum was redesigned.,Unspecified,חפץ|Object,,other,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0004-001-R0001,IL-MTFN-001-G-F-0004-001,Guest Book 1949-1953,"ספר אורחים 1949-1953: אורחים רושמים רשימות, שירים, ציורים ומדביקים תמונות מתעדות. לצד ישראלים מתארחים גם אנשי או""מ ותיירים רבים מארה""ב, יפן, גרמניה, שוויץ, והולנד. הספר כתוב בעיקר בעברית, גרמנית ואנגלית. רבים הוסיפו ליד שמם גם את עיסוקם, כגון: ""בעל מכבסת יהודית בחיפה"". רבים מהאורחים נהגו לחזור ולהתארח מדי שנה בשנה בפנסיון. הכותבים משבחים את האווירה, האוכל והטיפול. בין היתר מופיעים בספר האורחים: משה שרת, שרשם ב-1951: ""רק עוד קצת עברית - והכל יהיה נפלא""; אורח אחר רשם מתחת לדברי שרת: ""רק עוד קצת שרת - והכל יהיה עברית"". אורחים נוספים: אבא אבן, גרשם שלום, נחום גולדמן, גרדה והרמן צונדק, סוסקין, קבוצות עיתונאים שליד שמו של כל אחד מופיע שם העיתון בו עבד (בולט מספר העיתונים הרב); פקידים של משרדי ממשלה, ביניהם הנציג של ""המשרד הדרוזי"".","Gästebuch 1949-1953: Gäste schreiben Notizen, Gedichte, Zeichnungen und kleben dokumentierende Fotos ein. Neben Israelis sind auch UN-Mitarbeiter und viele Touristen aus den USA, Japan, Deutschland, der Schweiz und den Niederlanden zu Gast. Das Buch ist hauptsächlich in Hebräisch, Deutsch und Englisch geschrieben. Viele fügten neben ihrem Namen auch ihren Beruf hinzu, wie z.B.: ""Besitzer einer jüdischen Wäscherei in Haifa"". Viele der Gäste kehrten jedes Jahr in die Pension zurück. Die Autoren loben die Atmosphäre, das Essen und die Betreuung. Unter anderem erscheinen im Gästebuch: Mosche Scharet, der 1951 schrieb: ""Nur noch ein bisschen Hebräisch - und alles wird wunderbar""; ein anderer Gast schrieb unter Scharets Worten: ""Nur noch ein bisschen Scharet - und alles wird Hebräisch"". Weitere Gäste: Abba Eban, Gershom Scholem, Nahum Goldmann, Gerda und Hermann Zondek, Soskin, Journalistengruppen, bei denen neben jedem Namen der Name der Zeitung steht, in der er arbeitete (die Vielzahl der Zeitungen ist auffällig); Beamte von Regierungsbüros, darunter der Vertreter des ""Drusischen Büros"".","Guest Book 1949-1953: Guests write notes, poems, drawings, and paste documenting photos. Alongside Israelis, there are also UN personnel and many tourists from the USA, Japan, Germany, Switzerland, and the Netherlands. The book is mainly written in Hebrew, German, and English. Many added their occupation next to their name, such as: ""Owner of a Jewish laundry in Haifa"". Many of the guests used to return and stay every year at the pension. The writers praise the atmosphere, the food, and the care. Among others appearing in the guest book: Moshe Sharett, who wrote in 1951: ""Just a little more Hebrew - and everything will be wonderful""; another guest wrote under Sharett's words: ""Just a little more Sharett - and everything will be Hebrew"". Other guests: Abba Eban, Gershom Scholem, Nahum Goldmann, Gerda and Hermann Zondek, Soskin, groups of journalists with the name of the newspaper they worked for next to each name (the large number of newspapers is notable); officials from government offices, including the representative of the ""Druze Office"".",Hebrew|German|English,רשימות|Personal Notes,handwriting,original,,1949,1953,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0004-001-R0002,IL-MTFN-001-G-F-0004-001,Guestbook 1953-1967: Rotary Club Nahariya,"ספר אורחים 1953-1967: נשואים טריים שמבלים את ירח הדבש בנהריה. הקלוב של ""רוטרי נהריה"" נהג לערוך את פגישותיו בפנסיון כהן מאז 1952. בספר זה חתומים בין היתר: משה דיין, תיאודור הויז (אז נשיא גרמניה), רולף פאולוס (שגרירה הראשון של גרמניה בישראל), יוחאי בן-נון מפקד חיל הים, שהתארח יחד עם קבוצה של חיילים ועוד.","Gästebuch 1953-1967: Frisch verheiratete Paare, die ihre Flitterwochen in Nahariya verbringen. Der Rotary Club Nahariya hielt seit 1952 seine Treffen im Pension Cohen ab. In diesem Buch sind unter anderem unterschrieben: Moshe Dayan, Theodor Heuss (damals Präsident von Deutschland), Rolf Pauls (erster Botschafter Deutschlands in Israel), Yohai Ben-Nun, Kommandant der Marine, der zusammen mit einer Gruppe von Soldaten zu Gast war und andere.","Guestbook 1953-1967: Newlyweds spending their honeymoon in Nahariya. The Rotary Club of Nahariya used to hold its meetings at Pension Cohen since 1952. Among others, this book is signed by: Moshe Dayan, Theodor Heuss (then President of Germany), Rolf Pauls (Germany's first ambassador to Israel), Yohai Ben-Nun, Commander of the Navy, who visited with a group of soldiers, and others.",Hebrew,ספר|Book,,original,,1953,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0004-001-R0003,IL-MTFN-001-G-F-0004-001,Humorous Newspaper for the Wedding of Richard Cohn and Gretel Windmüller,"עיתון הומוריסטי מ-1920 שנכתב לרגל נישואי ריכרד כהן עם גרטל לבית וינדמילר ברדה, גרמניה; .Richard Cohn, Gretel geb. Windmüller, Rehda.","Humoristische Zeitung von 1920, geschrieben anlässlich der Hochzeit von Richard Cohn mit Gretel geb. Windmüller in Rehda, Deutschland.","Humorous newspaper from 1920 written on the occasion of the marriage of Richard Cohn with Gretel née Windmüller in Rehda, Germany.",German,עיתון|Newspaper,print,original,Richard Cohn,1920,1920,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0004-001-R0006,IL-MTFN-001-G-F-0004-001,Pictures of Pension Cohen and Guests,"תמונות של פנסיון כהן כפי שהיה, תמונות אורחים נופשים; ביו היתר תמונות של ותיקי נהריה במפגש עם תאודור הויז, תמונות משפחתיות של ריכרד וגרטל כהן.","Bilder von Pension Cohen wie es war, Bilder von Urlaubsgästen; unter anderem Bilder von Veteranen von Nahariya bei einem Treffen mit Theodor Heuss, Familienbilder von Richard und Gretel Cohen.","Pictures of Pension Cohen as it was, pictures of vacationing guests; among others, pictures of Nahariya veterans meeting with Theodor Heuss, family pictures of Richard and Gretel Cohen.",Unspecified,תצלום|Photograph,photography,original,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0005-001-R0001,IL-MTFN-001-G-F-0005-001,Manuscript in Memory of Lotte Engel,"מנוסקריפט לזכרה של לוטה אנגל לבית הקר, בגרמנית ועברית ומודפס.","Manuskript zum Gedenken an Lotte Engel, geborene Ker, auf Deutsch und Hebräisch und gedruckt.","Manuscript in memory of Lotte Engel née Ker, in German and Hebrew and printed.",Hebrew|German,מכתב|Letter,typewriting,original,Lotte Engel,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-001-R0003,IL-MTFN-001-G-F-0005-001,Printed Pages from Family Website,13 עמודים מודפסים מתוך אתר המשפחה באינטרנטץ הטקסטים באנגלית מלווים בתמונות.,13 gedruckte Seiten von der Familien-Website im Internet. Die Texte sind auf Englisch und werden von Bildern begleitet.,13 printed pages from the family website on the internet. The texts are in English and accompanied by pictures.,English,דף אינטרנט|Web Page,print,copy,,,,,13
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0005-002-R0001,IL-MTFN-001-G-F-0005-002,"Family Tree of Reines, Moses, Haker","צילום של אילן היוחסין של משפחות: ריינס, מוזס, הקר.","Fotografie des Stammbaums der Familien: Reines, Moses, Haker.","Photograph of the family tree of the families: Reines, Moses, Haker.",Unspecified,תצלום|Photograph,photography,copy,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0005-002-R0002,IL-MTFN-001-G-F-0005-002,"Postcard from Udo Moses to his mother Johanna, 1914",גלויה ששולח החייל אודו מוזס אל אמו יוהנה בטיפאו 1914 (נהרג זמן קצר אחרי זה).,"Postkarte, die der Soldat Udo Moses an seine Mutter Johanna in Tifau 1914 schickt (kurz danach getötet).",Postcard sent by soldier Udo Moses to his mother Johanna in Tifau 1914 (killed shortly after).,German,גלויה|Postcard,other,original,Udo Moses,1914,,,
