item_id	raw_item_class
IL-MTFN-001-G-F-0009-002-R0008	Recipe
IL-MTFN-001-G-F-0022-005-R0001	Academic Document
IL-MTFN-001-G-F-0047-031-R0003	Stationery
IL-MTFN-001-G-F-0047-037-R0002	Map
IL-MTFN-001-G-F-0071-001-R0002	Serial
IL-MTFN-001-G-F-0071-001-R0011	Lecture
IL-MTFN-001-G-F-0071-002-R0006	Serial
IL-MTFN-001-G-F-0113-059-R0005	Serial
IL-MTFN-001-G-F-0149-001-R0002	News Clipping
IL-MTFN-001-G-F-0166-001-R0009	Unspecified
IL-MTFN-001-G-F-0185-010-R0005	News Clipping
IL-MTFN-001-G-F-0202-001-R0014	Calendar
IL-MTFN-001-G-F-0202-009-R0013	Testimony
IL-MTFN-001-G-F-0223-001-R0009	News Clipping
IL-MTFN-001-G-F-0257-001-R0002	Game
IL-MTFN-001-G-F-0314-002-R0001	Memory Book
IL-MTFN-001-G-F-0314-003-R0002	Academic Certificate
IL-MTFN-001-G-F-0341-001-R0010	List
IL-MTFN-001-G-F-0341-017-R0002	Serial
IL-MTFN-001-G-F-0355-002-R0002	Memory Book
IL-MTFN-001-G-F-0390-022-R0019	Agreement
IL-MTFN-001-G-F-0391-009-R0007	Agreement
