item_id	omeka_id	error
IL-MTFN-001-G-F-0003-002-R0001		HTTPSConnectionPool(host='omeka.dijest.net', port=443): Max retries exceeded with url: /api/items?key_identity=REDACTED&key_credential=REDACTED (Caused 
IL-MTFN-001-G-F-0003-002-R0001		HTTPSConnectionPool(host='omeka.dijest.net', port=443): Max retries exceeded with url: /api/items?key_identity=REDACTED&key_credential=REDACTED (Caused 
IL-MTFN-001-G-F-0003-002-R0001	7683	
IL-MTFN-001-G-F-0003-002-R0001	7684	
IL-MTFN-001-G-F-0003-003-R0001	7685	
IL-MTFN-001-G-F-0004-001-R0001	7686	
IL-MTFN-001-G-F-0004-001-R0002	7687	
IL-MTFN-001-G-F-0004-001-R0003	7688	
IL-MTFN-001-G-F-0004-001-R0006	7689	
IL-MTFN-001-G-F-0005-001-R0001	7690	
IL-MTFN-001-G-F-0005-001-R0003	7691	
IL-MTFN-001-G-F-0005-002-R0001	7692	
IL-MTFN-001-G-F-0005-002-R0002	7693	
IL-MTFN-001-G-F-0005-002-R0004	7694	
IL-MTFN-001-G-F-0005-002-R0005	7695	
IL-MTFN-001-G-F-0005-002-R0006	7696	
IL-MTFN-001-G-F-0005-002-R0007	7697	
IL-MTFN-001-G-F-0005-002-R0008	7698	
IL-MTFN-001-G-F-0005-002-R0009	7699	
IL-MTFN-001-G-F-0005-002-R0010	7700	
IL-MTFN-001-G-F-0005-002-R0011	7701	
IL-MTFN-001-G-F-0005-002-R0012	7702	
IL-MTFN-001-G-F-0005-002-R0013	7703	
IL-MTFN-001-G-F-0005-002-R0014	7704	
IL-MTFN-001-G-F-0005-003-R0002	7705	
IL-MTFN-001-G-F-0005-003-R0004	7706	
IL-MTFN-001-G-F-0005-003-R0005	7707	
IL-MTFN-001-G-F-0008-001-R0001	7708	
IL-MTFN-001-G-F-0008-001-R0002	7709	
IL-MTFN-001-G-F-0008-001-R0003	7710	
IL-MTFN-001-G-F-0008-001-R0004	7711	
IL-MTFN-001-G-F-0008-001-R0005	7712	
IL-MTFN-001-G-F-0008-001-R0006	7713	
IL-MTFN-001-G-F-0008-001-R0007	7714	
IL-MTFN-001-G-F-0008-001-R0008	7715	
IL-MTFN-001-G-F-0008-001-R0009	7716	
IL-MTFN-001-G-F-0008-001-R0010	7717	
IL-MTFN-001-G-F-0008-001-R0012	7718	
IL-MTFN-001-G-F-0008-001-R0013	7719	
IL-MTFN-001-G-F-0008-001-R0014	7720	
IL-MTFN-001-G-F-0008-001-R0015	7721	
IL-MTFN-001-G-F-0008-001-R0016	7722	
IL-MTFN-001-G-F-0008-001-R0017	7723	
IL-MTFN-001-G-F-0008-001-R0018	7724	
IL-MTFN-001-G-F-0008-001-R0019	7725	
IL-MTFN-001-G-F-0008-001-R0020	7726	
IL-MTFN-001-G-F-0008-002-R0001	7727	
IL-MTFN-001-G-F-0008-002-R0002	7728	
IL-MTFN-001-G-F-0008-002-R0003	7729	
IL-MTFN-001-G-F-0008-002-R0004	7730	
IL-MTFN-001-G-F-0008-002-R0005	7731	
IL-MTFN-001-G-F-0008-002-R0009	7732	
IL-MTFN-001-G-F-0008-002-R0010	7733	
IL-MTFN-001-G-F-0008-003-R0002	7734	
IL-MTFN-001-G-F-0008-003-R0003	7735	
IL-MTFN-001-G-F-0009-002-R0001	7736	
IL-MTFN-001-G-F-0009-002-R0003	7737	
IL-MTFN-001-G-F-0009-002-R0007	7738	
IL-MTFN-001-G-F-0009-002-R0008	7739	
IL-MTFN-001-G-F-0009-002-R0009	7740	
IL-MTFN-001-G-F-0009-003-R0002	7741	
IL-MTFN-001-G-F-0009-003-R0003	7742	
IL-MTFN-001-G-F-0009-003-R0005	7743	
IL-MTFN-001-G-F-0009-003-R0006	7744	
