page_no	chars	mean_conf
1	775	0.904
2	0	0.0
3	0	0.0
4	0	0.0
5	234	0.408
6	129	0.466
7	134	0.306
8	198	0.396
9	508	0.474
10	195	0.356
11	217	0.432
12	84	0.423
13	72	0.357
14	185	0.406
15	53	0.464
16	129	0.404
17	57	0.419
18	136	0.424
19	0	0.0
20	49	0.472
21	64	0.318
22	186	0.406
23	168	0.35
24	74	0.437
25	19	0.465
26	164	0.343
27	119	0.344
28	214	0.388
29	264	0.415
30	104	0.397
31	215	0.537
32	109	0.316
33	281	0.364
34	21	0.372
35	108	0.403
36	84	0.502
37	160	0.387
38	137	0.351
39	170	0.364
40	184	0.387
41	405	0.573
42	191	0.406
43	150	0.572
44	68	0.258
45	105	0.413
46	281	0.506
47	76	0.416
48	209	0.433
49	249	0.498
50	165	0.474
51	214	0.48
52	131	0.45
53	0	0.0
54	96	0.433
55	0	0.0
56	203	0.499
57	103	0.42
58	43	0.376
59	26	0.356
60	138	0.397
61	252	0.328
62	149	0.442
63	244	0.483
64	165	0.422
65	147	0.418
66	153	0.342
67	460	0.53
68	98	0.407
69	125	0.35
70	136	0.471
71	174	0.445
72	56	0.512
73	119	0.46
74	157	0.453
75	134	0.367
76	118	0.477
77	171	0.354
78	126	0.518
79	107	0.367
80	188	0.474
81	80	0.34
82	151	0.45
83	55	0.371
84	93	0.525
85	56	0.376
86	103	0.437
87	155	0.299
88	273	0.476
89	77	0.345
90	50	0.496
91	102	0.443
92	47	0.388
93	1	0.485
94	97	0.537
95	34	0.472
96	150	0.554
97	31	0.533
98	138	0.456
99	179	0.47
100	75	0.523
101	168	0.411
102	11	0.382
103	154	0.465
104	168	0.504
105	295	0.473
106	239	0.473
107	109	0.356
108	156	0.477
109	75	0.536
110	205	0.46
111	29	0.432
112	153	0.46
113	95	0.457
114	240	0.498
115	178	0.317
116	115	0.428
117	170	0.442
118	167	0.407
119	0	0.0
120	95	0.382
121	22	0.429
122	254	0.395
123	15	0.477
124	249	0.417
125	0	0.0
126	220	0.351
127	51	0.493
128	272	0.493
129	114	0.45
130	81	0.506
131	75	0.388
132	99	0.47
133	24	0.36
134	68	0.445
135	136	0.366
136	213	0.403
137	105	0.305
138	97	0.369
139	0	0.0
140	235	0.468
141	46	0.325
142	195	0.416
143	47	0.386
144	110	0.501
145	51	0.42
146	138	0.491
147	0	0.0
148	147	0.411
149	0	0.0
150	30	0.534
151	69	0.325
152	221	0.418
153	0	0.0
154	37	0.41
155	41	0.41
156	28	0.293
157	111	0.438
158	69	0.466
159	57	0.456
160	176	0.516
161	31	0.259
162	173	0.52
163	265	0.445
164	161	0.481
165	139	0.381
166	138	0.354
167	99	0.368
168	119	0.546
169	59	0.346
170	170	0.442
171	244	0.481
172	130	0.346
173	185	0.486
174	37	0.448
175	151	0.461
176	142	0.398
177	116	0.422
178	103	0.34
179	151	0.437
180	33	0.468
181	117	0.484
182	0	0.0
183	86	0.447
184	27	0.401
185	0	0.0
186	67	0.525
187	0	0.0
188	68	0.363
189	69	0.475
190	240	0.413
191	94	0.363
192	146	0.499
193	0	0.0
194	102	0.291
195	88	0.358
196	31	0.502
197	48	0.477
198	35	0.458
199	31	0.344
200	186	0.417
201	218	0.459
202	60	0.421
203	36	0.277
204	38	0.35
205	240	0.476
206	175	0.391
207	5	0.245
208	99	0.459
209	195	0.408
210	56	0.469
211	29	0.362
212	51	0.398
213	446	0.519
214	66	0.384
215	156	0.382
216	219	0.359
217	79	0.421
218	172	0.426
219	164	0.43
220	89	0.413
221	136	0.416
222	39	0.305
223	60	0.42
224	0	0.0
225	246	0.523
226	133	0.408
227	143	0.368
228	251	0.397
229	159	0.441
230	50	0.507
231	153	0.459
232	137	0.454
233	121	0.358
234	181	0.479
235	260	0.378
236	126	0.413
237	184	0.378
238	37	0.381
239	453	0.506
240	355	0.503
241	167	0.408
242	128	0.509
243	130	0.464
244	85	0.337
245	21	0.542
246	92	0.501
247	79	0.489
248	103	0.387
249	86	0.369
250	0	0.0
251	96	0.48
252	41	0.34
253	0	0.0
254	38	0.337
255	48	0.408
256	119	0.482
257	0	0.0
258	88	0.508
259	0	0.0
260	0	0.0
261	27	0.289
262	25	0.524
263	16	0.331
264	39	0.233
265	0	0.0
266	0	0.0
267	0	0.0
268	223	0.421
269	507	0.494
