doc_id	legacy_item_id	confidence	note
0047-2-D01	IL-MTFN-001-G-F-0047-002-R0021	high	29.4.1947 60th-birthday letter to Alfred Landsberg
0047-2-D02	IL-MTFN-001-G-F-0047-002-R0020	high	1946 copy to Dr. Weiss KKL
0047-2-D03	IL-MTFN-001-G-F-0047-002-R0015	high	Einstein 1924 invitation (legacy mislabels "Alfred Einstein")
0047-2-D04	IL-MTFN-001-G-F-0047-002-R0002	high	Weltsch 1934
0047-2-D05	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D06	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D07	IL-MTFN-001-G-F-0047-002-R0003	medium	press items filed inside Sharett bundle
0047-2-D08	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D09	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D10	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D11	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D12	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D13	IL-MTFN-001-G-F-0047-002-R0003	medium	dedicated photo + ephemera in Sharett bundle
0047-2-D14	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D15	IL-MTFN-001-G-F-0047-002-R0003	medium	illegible notes, presumed Sharett
0047-2-D16	IL-MTFN-001-G-F-0047-002-R0003	medium	Am Oved card in Sharett bundle
0047-2-D17	IL-MTFN-001-G-F-0047-002-R0003	high	Sharett-to-Leonie bundle
0047-2-D18	IL-MTFN-001-G-F-0047-002-R0004	high	Leonie-to-Sharett from Germany (bundle of 2)
0047-2-D19	IL-MTFN-001-G-F-0047-002-R0004	high	Leonie-to-Sharett from Wiesbaden 1959 (unsent)
0047-2-D20	IL-MTFN-001-G-F-0047-002-R0005	high	Zweig postcard
0047-2-D21	IL-MTFN-001-G-F-0047-002-R0005	high	Zweig letter
0047-2-D22	IL-MTFN-001-G-F-0047-002-R0005	high	Zweig letter Cologne 1926
0047-2-D23	IL-MTFN-001-G-F-0047-002-R0006	high	Weizmann bundle
0047-2-D24	IL-MTFN-001-G-F-0047-002-R0006	medium	Weizmann library invitation in bundle
0047-2-D25	IL-MTFN-001-G-F-0047-002-R0006	high	Weizmann secretary bundle
0047-2-D26	IL-MTFN-001-G-F-0047-002-R0006	medium	President's office thank-you card in bundle
0047-2-D27	IL-MTFN-001-G-F-0047-002-R0006	high	Weizmann secretary 1929
0047-2-D28	IL-MTFN-001-G-F-0047-002-R0006	high	Weizmann secretary 1930
0047-2-D29	IL-MTFN-001-G-F-0047-002-R0006	high	Weizmann secretariat fragments
0047-2-D30	IL-MTFN-001-G-F-0047-002-R0007	high	Goldmann
0047-2-D31	IL-MTFN-001-G-F-0047-002-R0008	high	Arie, Ramat Yohanan hachshara (date 1943 vs register 1942)
0047-2-D32	IL-MTFN-001-G-F-0047-002-R0009	high	Britschgi-Schimmer 1940 (legacy typo "Prutschgi")
0047-2-D33	IL-MTFN-001-G-F-0047-002-R0011	high	Schenker 1961
0047-2-D34	IL-MTFN-001-G-F-0047-002-R0012	high	1925 Congress postcard (Leonard Stein)
0047-2-D35	NEW	low	1931(?) letter re abridged edition; possibly legacy R0019 "Two letters in an envelope" but unverifiable
0047-2-D36	IL-MTFN-001-G-F-0047-002-R0014	high	Sandbank / Histadrut culture-center letterhead
0047-2-D37	IL-MTFN-001-G-F-0047-002-R0016	high	Else Fils dictated letter from Germany
0047-2-D38	IL-MTFN-001-G-F-0047-002-R0017	medium	Tefen cover sheet for the Herzl 1900 original
0047-2-D39	IL-MTFN-001-G-F-0047-002-R0018	high	Herlitz, Zionist Central Archives 1950
