doc_id	page_range	title	date_text	doc_type	languages	from_person	to_person	places	persons	description_he	description_de	description_en	is_heimat_relevant	heimat_rationale	notes
0047-4-D01	3-13	Photographs — "Winter 1935-36"	Winter 1935-36	photograph	none	family		unknown	unknown	קבוצת תצלומים שלצדם כיתוב בכתב יד "חורף 1935-36"; עמודי הסריקה אינם מכילים טקסט והנושאים טרם זוהו.	Gruppe von Fotografien mit der handschriftlichen Beschriftung "Winter 1935-36"; die Scanseiten enthalten keinen Text, die Motive sind noch nicht identifiziert.	Group of photographs with a handwritten caption "Winter 1935-36"; the scan pages contain no text and the subjects are not yet identified.	false	Content unknown; no textual Heimat signal available.	Likely (part of) the photographs listed in the legacy catalogue. NEEDS human viewing of scans.
0047-4-D02	14-15	Inscribed photograph — "Unser lieber Bruder Jacob ..."	10.6.1925 (HTR uncertain)	photograph	de	family	Jacob [?]; sister [?] Berliner	unknown	Jacob [?]; [?] Berliner	תצלום ובו הקדשה בכתב יד: "אחינו היקר יעקב... אחות... ברלינר", בתאריך הנקרא כ-10 ביוני 1925.	Fotografie mit handschriftlicher Widmung "Unser lieber Bruder Jacob ... liebe Schwester [?] Berliner", Datum gelesen als 10. Juni 1925.	Photograph with a handwritten dedication "Unser lieber Bruder Jacob ... liebe Schwester [?] Berliner", date read as 10 June 1925.	false	Pre-1933 family photograph inscription; no Heimat discourse.	Names garbled in HTR ("Bara BtRLINER geb. 4444") — NEEDS human check.
0047-4-D03	16-19	KKL item concerning the Nachum Sokolow memorial stamp	c.1936	letter	he	unknown (Ussischkin?)	Landsberg family(?)	Jerusalem	Nachum Sokolow; Menachem Ussischkin(?)	פריט בעברית על נייר מכתבים של הלשכה הראשית של הקרן הקיימת לישראל בירושלים, המזכיר את נחום סוקולוב ז"ל ובול קק"ל (ככל הנראה בול הזיכרון לסוקולוב, 1936). הכתב לא פוענח; הקטלוג הישן מייחס לתיק מכתבים מאוסישקין, וייתכן שזהו אחד מהם.	Hebräisches Schriftstück auf Briefpapier des Hauptbüros des Keren Kayemeth LeIsrael (Jerusalem), das "Nachum Sokolow sel. A." und eine KKL-Briefmarke erwähnt (wohl die Sokolow-Gedenkmarke von 1936). Handschrift unentziffert; der Altkatalog nennt Briefe Ussischkins — möglicherweise dieses Stück.	Hebrew item on Keren Kayemeth LeIsrael head-office letterhead (Jerusalem) mentioning "Nachum Sokolow of blessed memory" and a JNF stamp (probably the 1936 Sokolow memorial stamp). Handwriting undeciphered; the legacy catalogue lists Ussischkin letters and this may be one of them.	false	Palestine-internal Zionist-institutional item; no Heimat signal.	pp.16-18 Hebrew handwriting unusable in German-model HTR — NEEDS human transcription. Sokolow died 1936, giving the earliest date.
0047-4-D04	22-26	Letter from Selig Eugen Soskin, San Remo Hotel Tel Aviv	1939-07-18	letter	de	Selig Eugen Soskin	Leonie & Alfred Landsberg	Tel Aviv; Kfar Shmaryahu; Jerusalem; Shavei Zion; Nahariya	Selig Eugen Soskin; Dr. Foerder	מכתב מזליג אויגן סוסקין ממלון סן-רמו בתל אביב אל לאוני ואלפרד לנדסברג בכפר שמריהו, 18 ביולי 1939: הוא מציע לבוא לסוף שבוע בכפר שמריהו כדי לשוחח עם עמיתו, ומזכיר את הוועד, את ד"ר פרדר ואת שבי ציון ונהריה.	Brief von Selig Eugen Soskin aus dem San-Remo-Hotel Tel Aviv an Leonie und Alfred Landsberg in Kfar Schmarjahu, 18. Juli 1939: Er schlägt ein Wochenende in Kfar Schmarjahu vor, um mit dem Kollegen zu fachsimpeln, und erwähnt den Waad, Dr. Foerder, Schavei Zion und Nahariya.	Letter from Selig Eugen Soskin, San Remo Hotel Tel Aviv, to Leonie and Alfred Landsberg at Kfar Shmaryahu, 18 July 1939: he proposes a weekend visit to Kfar Shmaryahu to talk shop with his colleague, mentioning the Waad, Dr. Foerder, Shavei Zion and Nahariya.	false	Palestine-internal social/professional correspondence of 1939; no Heimat discourse.	Signature read "S. 8. Toski" = S.E. Soskin. p22 caption "Dr. A. Landsberg Kfar Schmarjahu"; p23 hotel letterhead; p26 blank.
0047-4-D05	27-29	Soskin letter aboard S/S Champollion	1939-08-10	letter	de	Selig Eugen Soskin	Leonie Landsberg ("B.L.L.")	at sea (Messageries Maritimes); Jerusalem; Negev; Paris; Geneva(?)	Selig Eugen Soskin; Felix Rosenblüth; Halpern; Bernard Joseph; Chaim Weizmann; Eliezer Kaplan; David Ben-Gurion	מכתב מסוסקין שנכתב על סיפון האנייה "שמפוליון" בדרכו לאירופה, 10 באוגוסט 1939: הוא מונה את חבריו למסע (רוזנבליט, הלפרן, ברנרד ג'וזף), מדווח על מכתבו להנהלה הציונית בירושלים בעניין הנגב ועל ועידה מקווה עם ויצמן, קפלן ובן-גוריון, מוותר על פתיחת הקונגרס ומתעכב יומיים בפריז.	Brief Soskins an Bord der S/S Champollion (Messageries Maritimes) auf dem Weg nach Europa, 10. August 1939: Mitreisende (Rosenblüth, Halpern, Bernard Joseph), sein Schreiben an die Jerusalemer Exekutive wegen des Negev, eine erhoffte Konferenz mit Weizmann, Kaplan und Ben-Gurion; er verzichtet auf die Kongress-Eröffnung und bleibt zwei Tage in Paris.	Letter written by Soskin aboard the S/S Champollion en route to Europe, 10 August 1939: fellow passengers (Rosenblüth, Halpern, Bernard Joseph), his letter to the Jerusalem Executive concerning the Negev, a hoped-for conference with Weizmann, Kaplan and Ben-Gurion; he forgoes the (21st Zionist) Congress opening and will spend two days in Paris.	false	Zionist-institutional travel letter (Negev settlement politics); no Heimat discourse.	Opens praising the recipient's "fabelhafte Energie". Signature read "S. C. Sorhin" = S.E. Soskin. Year inferred from Congress context (Geneva, Aug 1939).
0047-4-D06	30-31	Two typed letters — Central Bureau for the Settlement of German Jews	mid-1930s	letter	de	Central Bureau (Henrietta Szold?)	Alfred Landsberg	Jerusalem; Tel Aviv	Henrietta Szold(?); Chaim Weizmann; Arthur Ruppin	שני מכתבים מודפסים על נייר "המשרד המרכזי לישוב יהודי גרמניה בארץ-ישראל" של הסוכנות היהודית (היו"ר ויצמן, המנהל רופין) אל ד"ר אלפרד לנדסברג, רח' בצלאל יפה 11 תל אביב; האחד עוסק ב"צעירים" (עליית הנוער?). החתימות לא נקלטו — לפי דף המפריד ייתכן שהכותבת היא הנרייטה סולד.	Zwei maschinenschriftliche Briefe auf Papier des "Central Bureau for the Settlement of German Jews" der Jewish Agency (Vorsitz Weizmann, Direktor Ruppin) an Dr. Alfred Landsberg, Bezalel-Jaffe-Str. 11, Tel Aviv; einer betrifft "die Jugendlichen". Unterschriften nicht erfasst — laut Trennblatt möglicherweise Henrietta Szold.	Two typed letters on Jewish Agency "Central Bureau for the Settlement of German Jews" letterhead (chairman Weizmann, director Ruppin) to Dr. Alfred Landsberg, 11 Bezalel Jaffe St. Tel Aviv; one concerns "die Jugendlichen" (Youth Aliyah?). Signatures not captured — the divider page suggests Henrietta Szold as author.	false	Institutional correspondence about absorption of German Jews in Palestine — Palestine-internal, not Heimat memory-work.	Bodies only partially OCR-legible; signatures cut off — NEEDS human check against divider attribution "von Henr. Szold(?)".
0047-4-D07	32-33	Letter from Shmarya Levin, Mount Carmel Haifa	1932-05-31	letter	de	Shmarya Levin	Alfred Landsberg	Haifa (Mount Carmel); Wiesbaden	Shmarya Levin; Leonie Landsberg	מכתב משמריהו לוין, הר הכרמל חיפה, 31 במאי 1932, אל "ידידי היקר" ד"ר אלפרד לנדסברג בוויסבאדן: עניין כספי-משפטי מול הוצאת ספרים (שטרות, תשלומי-ביניים, מסמכי פרולונגציה), תודה על טרחתו של לנדסברג בעניינו, וידיעות אישיות; מזכיר מכתב מקביל ללאוני.	Brief von Schmarja Levin, Mount Carmel Haifa, 31. Mai 1932, an Dr. Alfred Landsberg, Wiesbaden ("Lieber Freund"): eine Finanz-/Rechtsangelegenheit mit einem Verlag (Akzepte, Ratenzahlungen, Prolongationspapiere), Dank für Landsbergs Bemühungen und persönliche Nachrichten; ein paralleler Brief an Leonie wird erwähnt.	Letter from Shmarya Levin, Mount Carmel Haifa, 31 May 1932, to Dr. Alfred Landsberg in Wiesbaden ("Lieber Freund"): a financial/legal matter with a publishing house (bills of exchange, instalments, prolongation papers), thanks for Landsberg's efforts on his behalf, and personal news; a parallel letter to Leonie is mentioned.	false	Pre-1933 business/personal correspondence; no Heimat discourse.	Signature read "Mmarga Levin" = Schmarja Levin. Publisher name garbled ("Jud. Verlag"?). Landsberg evidently acted as Levin's lawyer in Germany.
0047-4-D08	34	Second letter from Shmarya Levin	1932-06-11	letter	de	Shmarya Levin	Alfred Landsberg	Haifa (Mount Carmel); Wiesbaden	Shmarya Levin	מכתב המשך משמריהו לוין, 11 ביוני 1932: שולח שטר חתום חדש (על סך כ-215), מצטער על הטרחה שגרם עניין כה פעוט, ומדווח שמצבו "נסבל" ושהוא מקווה לשוב לעבודה מלאה.	Folgebrief von Schmarja Levin, 11. Juni 1932: Er schickt ein neu unterschriebenes Akzept (ca. 215.-), bedauert die viele Mühe wegen einer so geringen Angelegenheit und berichtet, es gehe ihm "erträglich".	Follow-up letter from Shmarya Levin, 11 June 1932: he sends a newly signed bill of exchange (ca. 215.-), regrets the trouble caused by so small a matter, and reports his health as "tolerable", hoping to resume full work.	false	Pre-1933 business correspondence; no Heimat discourse.	Signature garbled ("Schwerzn Boin"); place/date line partly garbled — NEEDS human check.
0047-4-D09	35-39	Letter from Arthur Ruppin to Alfred Landsberg (with Hebrew translation)	n.d. (c.1934-36)	letter	de, he	Arthur Ruppin	Alfred Landsberg	Jerusalem; Tel Aviv	Arthur Ruppin; Meir Dizengoff	מכתב מארתור רופין אל אלפרד לנדסברג (ירושלים, ללא תאריך): תודה על תזכיר ששלח לנדסברג, דיווח על שיחה עם דיזנגוף בדבר כינוס ישיבה אינטימית של תושבים אמידים בתל אביב, ושאלה על תכניות ה"העברה" עד אמצע דצמבר. מצורף תרגום עברי מודפס שהוכן מאוחר יותר (עמ' 36).	Brief Arthur Ruppins an Alfred Landsberg (Jerusalem, undatiert): Dank für ein Memo, Bericht über ein Gespräch mit Dizengoff über die Einberufung wohlhabender Tel Aviver Einwohner zu einer intimen Sitzung, Frage nach den "Haavara"-Plänen bis Mitte Dezember. Beiliegend eine später angefertigte hebräische Übersetzung (S.36).	Letter from Arthur Ruppin to Alfred Landsberg (Jerusalem, undated): thanks for a memo, an account of his talk with Dizengoff about convening an intimate meeting of well-off Tel Aviv residents, and a question about the "Haavara" (transfer) plans until mid-December. A later typed Hebrew translation is attached (p.36).	false	Palestine-internal organisational correspondence; the Haavara mention is transactional, not Heimat memory-work.	p38 handwritten original only partially legible; p36 is a modern archive/family translation; p39 envelope/note fragment. Dizengoff died Sept 1936 — terminus ante quem.
0047-4-D10	40-45	Letter from Arthur Ruppin, Marienbad, to Leonie Landsberg	1934-07-22	letter	de, he	Arthur Ruppin	Leonie Landsberg	Marienbad; Basel; Trieste; Tel Aviv	Arthur Ruppin; Kurt von Schleicher; Hans Kohn	מכתב מרופין ממלון בלמורל-אוסבורן במרינבד, 22 ביולי 1934, אל לאוני לנדסברג בתל אביב: רשמי הדרך (בזל, טריאסטה), הידיעה על הירצחו של גנרל שלייכר, קריאה בספרות ביולוגית והיזכרות בספרו הראשון "דרוויניזם ומדעי החברה" (1903), געגועיו למחקר, בנו, ושהותו עד 10 באוגוסט. מצורפים מעטפת דואר-אוויר ודף תקציר עברי בכתב יד.	Brief Ruppins aus dem Hotel Balmoral-Osborne, Marienbad, 22. Juli 1934, an Leonie Landsberg in Tel Aviv: Reiseeindrücke (Basel, Triest), die Nachricht von der Erschießung General Schleichers, biologische Lektüre und die Erinnerung an sein Erstlingswerk "Darwinismus und Sozialwissenschaft" (1903), sein Sohn, Aufenthalt bis zum 10. August. Mit Luftpostumschlag und handschriftlicher hebräischer Zusammenfassung.	Letter from Ruppin at the Hotel Balmoral-Osborne, Marienbad, 22 July 1934, to Leonie Landsberg in Tel Aviv: travel impressions (Basel, Trieste), the news of General Schleicher's shooting, biology reading and memories of his first book "Darwinismus und Sozialwissenschaft" (1903), his son, and his stay until 10 August. With airmail envelope and a handwritten Hebrew summary page.	false	Contemporary 1934 spa letter with news commentary (Night of the Long Knives), not post-war return or Heimat memory-work.	Reconstructed from pp.41+44 (HTR); p40 Hebrew summary ends with attribution "A. Ruppin"; p45 par-avion envelope to 11 Bezalel Jaffe St. Tel Aviv; pp.42-43 blank/near-blank.
