section_id	parent_r_item	transkribus_doc_id	page_start	page_end	divider_page	title_he	title_de_or_en	author	language	doc_type	date_text	in_existing_catalog	heimat_relevant	notes
0276-S01			1	1	1	הערה בכתב יד	Handwritten note (cover/annotation)	Heinrich (Zvi) Schopler?	he_de	manuscript_note	1987?	no	yes	Handwriting page, Tesseract conf ~0.55. NEEDS human transcription. Likely Schopler's own filing note; dated "1987" at top.
0276-S02			2	2	2	כתבה: מפגש אחרי 50 שנה — יהודים לשעבר אורחים בקלן	"Ein Wiedersehen nach 50 Jahren — Ehemalige jüdische Bürger zu Gast in ihrer alten Heimatstadt Köln"	Allgemeine Jüdische Wochenzeitung	de	newspaper_article	1986-03-07	no	yes	Full-page report on the Feb 1986 Cologne visit of ~50 ex-members of the Cologne Synagogue community; quotes OB Norbert Burger, Alexander Ginsburg, Jerry Bruck (Aufbau). Dense print, high conf.
0276-S03			3	3	3	כתבה: כיצד חיו הנרדפים בקלן	"Wie Verfolgte in Köln einst lebten — Schülergeschichtswerkstatt Lochnerstraße"	Kölner press	de	newspaper_article	c.1986	no	no	Article on a school history-workshop (Sammy Maedge / "Kennzeichen J"). Cologne memory culture but not emigrant-org / return-visit; borderline.
0276-S04			4	9	4	גזירי עיתונות "עיריית קלן" — קרנבל וביקור אורחים 1987	Press clippings "STADT KÖLN" — Rathaus carnival reception + ex-Cologne guests	Kölner Stadt-Anzeiger a.o.	de	newspaper_clippings	1987-02-25 ff	no	yes	Cluster of Kölner Stadt-Anzeiger clippings on Rosenmontag Rathaus reception where OB Burger hosted ~40 ex-Cologne citizens now in Israel/USA. p8 divider-ish. NEEDS human split into individual clippings.
0276-S05			10	10	10	כתבה: מסע אביב לעיר הקתדרלה קלן	"Frühlingsfahrt in die Domstadt Köln"	Nachrichten aus Israel / press	de	newspaper_article	1986	no	yes	Report: Cologne city fathers invited 40 ex-Cologne emigrants from Israel to their Heimatstadt; names OB Burger's aide Klaus Ladda.
0276-S06			11	28	12	תכנית ביקור המשלחת בקלן, פברואר 1986 — החברה לשיתוף פעולה נוצרי-יהודי	Program booklet: Israeli-delegation visit to Köln, Feb 1986 (Gesellschaft für Christlich-Jüdische Zusammenarbeit)	Gesellschaft für Christlich-Jüdische Zusammenarbeit Köln	de	program_booklet	1986-02-07/14	no	yes	Day-by-day program (Fri 7 Feb – Fri 14 Feb 1986) with the recurring "KÖLN-COLOGNE-KEULEN-COLONIA" letterhead; entry cards, Dr. Horst Matzerath (Historisches Archiv), ends with Teilnehmerliste (p28). Divider-style title cards p12/15/17/19. p13,p26 blank.
0276-S07			29	30	29	גזירי "קלן לאורכה ולרוחבה"	Kölner Stadt-Anzeiger "QUER DURCH KÖLN" clippings	Kölner Stadt-Anzeiger	de	newspaper_clippings	1986	no	yes	Local-color clippings tied to the visit.
0276-S08			31	38	31	קטעי עיתונות מעורבים (עברית/גרמנית) על ההגירה והשיבה	Mixed press cuttings (Hebrew/German) on emigration & return	various	he_de	newspaper_clippings	1986	no	yes	Mixed cluster incl. Hebrew-script fragments (p31), Frankfurter/Zürich refs, "Die Stadt KÖLN lud ehemalige Bürger ein" (p39 adjacent). p36/p38 tiny. NEEDS human split; some pages low-conf.
0276-S09			39	40	39	כתבה: עיריית קלן הזמינה אזרחים לשעבר	"Die Stadt KÖLN lud ehemalige Bürger ein" + "Ehemalige Kölner aus Israel zu Gast"	press	de	newspaper_article	1986	no	yes	Report on the winter 1986 invitation; p40 has "ZVI" (Zvi Schopler) header fragment.
0276-S10			41	42	41	גזיר: גרטרוד רוזנמן	Clipping: "Gertrud Rosenmann"	press	de	newspaper_clipping	c.1986	no	maybe	Short clipping. NEEDS human read; low chars on p42.
0276-S11			43	46	43	"חדשות ישראל" — טור "הסתובבתי והבטתי סביב" (בית המבורג)	"Israel Nachrichten" — column "Herumgereist und umgeschaut" ("Beth Hamburg")	Gerschon Monar, Israel Nachrichten	de_he	newspaper_article	1995-05-26	no	no	German-language Israeli paper feature; Sde Boker / Beth Hamburg, not Cologne. Included as Schopler's press ties. p45 blank, p46 near-blank.
0276-S12			47	49	47	גזיר "קלן לאורכה ולרוחבה" (Nr.124)	Kölner Stadt-Anzeiger "QUER DURCH KÖLN" (Nr. 124)	Kölner Stadt-Anzeiger	de	newspaper_clipping	c.1986	no	yes	p48,p49 blank.
