page_no	chars	conf	script	modality	engine	needs_escalation	text_file
1	3235	0.902	mixed	print	tesseract	no	ocr_tesseract/0001.txt
2	234	0.864	hebrew	print	tesseract	no	ocr_tesseract/0002.txt
3	3215	0.911	hebrew	print	tesseract	no	ocr_tesseract/0003.txt
4	236	0.903	hebrew	print	tesseract	no	ocr_tesseract/0004.txt
5	197	0.461	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0005.txt
6	2435	0.948	latin	print	tesseract	no	ocr_tesseract/0006.txt
7	1521	0.935	latin	print	tesseract	no	ocr_tesseract/0007.txt
8	177	0.710	latin	print_degraded	tesseract	no	ocr_tesseract/0008.txt
9	428	0.760	latin	print	tesseract	no	ocr_tesseract/0009.txt
10	309	0.454	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0010.txt
11	2788	0.909	latin	print	tesseract	no	ocr_tesseract/0011.txt
12	1213	0.910	latin	print	tesseract	no	ocr_tesseract/0012.txt
13	93	0.596	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0013.txt
14	1680	0.738	latin	print_degraded	tesseract	no	ocr_tesseract/0014.txt
15	143	0.469	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0015.txt
16	3014	0.880	latin	print	tesseract	no	ocr_tesseract/0016.txt
17	1714	0.920	latin	print	tesseract	no	ocr_tesseract/0017.txt
18	2016	0.946	latin	print	tesseract	no	ocr_tesseract/0018.txt
19	3150	0.869	latin	print	tesseract	no	ocr_tesseract/0019.txt
20	3164	0.920	latin	print	tesseract	no	ocr_tesseract/0020.txt
21	328	0.458	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0021.txt
22	143	0.393	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0022.txt
23	1573	0.898	latin	print	tesseract	no	ocr_tesseract/0023.txt
24	736	0.850	latin	print	tesseract	no	ocr_tesseract/0024.txt
25	1392	0.946	latin	print	tesseract	no	ocr_tesseract/0025.txt
26	2077	0.904	latin	print	tesseract	no	ocr_tesseract/0026.txt
27	2392	0.867	latin	print	tesseract	no	ocr_tesseract/0027.txt
28	0	0.000	none	blank_or_image	tesseract	yes	ocr_tesseract/0028.txt
29	3985	0.931	latin	print	tesseract	no	ocr_tesseract/0029.txt
30	86	0.519	mixed	handwriting_or_image	tesseract	yes	ocr_tesseract/0030.txt
31	4507	0.871	latin	print	tesseract	no	ocr_tesseract/0031.txt
32	4817	0.875	latin	print	tesseract	no	ocr_tesseract/0032.txt
33	343	0.661	latin	print_degraded	tesseract	no	ocr_tesseract/0033.txt
34	1569	0.732	latin	print_degraded	tesseract	no	ocr_tesseract/0034.txt
35	3007	0.799	latin	print	tesseract	no	ocr_tesseract/0035.txt
36	2882	0.732	latin	print_degraded	tesseract	no	ocr_tesseract/0036.txt
37	2856	0.729	latin	print_degraded	tesseract	no	ocr_tesseract/0037.txt
38	3054	0.751	latin	print	tesseract	no	ocr_tesseract/0038.txt
39	2417	0.804	mixed	print	tesseract	no	ocr_tesseract/0039.txt
40	3245	0.795	latin	print	tesseract	no	ocr_tesseract/0040.txt
41	3418	0.816	latin	print	tesseract	no	ocr_tesseract/0041.txt
42	3289	0.817	latin	print	tesseract	no	ocr_tesseract/0042.txt
43	3274	0.799	latin	print	tesseract	no	ocr_tesseract/0043.txt
44	3269	0.780	latin	print	tesseract	no	ocr_tesseract/0044.txt
45	2568	0.814	latin	print	tesseract	no	ocr_tesseract/0045.txt
46	2901	0.769	mixed	print	tesseract	no	ocr_tesseract/0046.txt
47	3222	0.812	mixed	print	tesseract	no	ocr_tesseract/0047.txt
