dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
IL-MTFN-001-G-F-0202-004-R0002,IL-MTFN-001-G-F-0202-004,Small Catalog on the Goetheanum in Dornach,קטלוג קטן בגרמנית על ה'גתאנום' בדורנך שוייץ.,"Kleiner Katalog auf Deutsch über das 'Goetheanum' in Dornach, Schweiz.","Small catalog in German about the 'Goetheanum' in Dornach, Switzerland.",German,קטלוג|Catalog,print,original,,,,,
IL-MTFN-001-G-F-0202-004-R0004,IL-MTFN-001-G-F-0202-004,Das Goetheanum Catalog,קטלוג Das Goetheanum; Freie Hochschule für Geisteswissenschaft.,Katalog Das Goetheanum; Freie Hochschule für Geisteswissenschaft.,Catalog Das Goetheanum; Free University for Spiritual Science.,German,קטלוג|Catalog,print,original,,,,,
IL-MTFN-001-G-F-0267-025-R0011,IL-MTFN-001-G-F-0267-025,Italian Exhibition Catalog 1980,קטלוג באיטלקית לתערוכה ב-1980 בעמ' 27 ו-28 מופיע א.מ. ליליין.,"Italienischer Katalog für eine Ausstellung im Jahr 1980, auf den Seiten 27 und 28 erscheint A.M. Lilien.","Italian catalog for an exhibition in 1980, A.M. Lilien appears on pages 27 and 28.",Other,קטלוג|Catalog,print,original,,,1980,,
IL-MTFN-001-G-F-0272-001-R0003,IL-MTFN-001-G-F-0272-001,"Catalog of Paintings, Illustrations, and Caricatures by Shmuel Katz","קטלוג 'ציורים איורים וקריקטורות' מתערוכה של האמן במוזיאון הימי בחיפה ב-2006; 2 עמודים בעברית, שמואל כץ כתב על הנצחת גירוש יהודי וינה בבית ספרו לשעבר שם.","Katalog 'Gemälde, Illustrationen und Karikaturen' von einer Ausstellung des Künstlers im Maritimen Museum in Haifa im Jahr 2006; 2 Seiten auf Hebräisch, Shmuel Katz schrieb über die Erinnerung an die Vertreibung der Wiener Juden an seiner ehemaligen Schule dort.","Catalog 'Paintings, Illustrations, and Caricatures' from an exhibition of the artist at the Maritime Museum in Haifa in 2006; 2 pages in Hebrew, Shmuel Katz wrote about commemorating the expulsion of Viennese Jews at his former school there.",Hebrew,קטלוג|Catalog,print,original,שמואל כץ,2006,,,2
IL-MTFN-001-G-F-0353-019-R0002,IL-MTFN-001-G-F-0353-019,"Struck Exhibition Catalog, Budapest, February 1914","קטלוג לתערוכת שטרוק בבודפשט, הונגריה, כתובה הונגרית, פברואר 1914. סה""כ מוצגים 500 יצירות. (קטלוג באה דף 1)","Katalog für die Struck-Ausstellung in Budapest, Ungarn, in ungarischer Sprache, Februar 1914. Insgesamt 500 Werke ausgestellt. (Katalog auf Seite 1)","Catalog for the Struck exhibition in Budapest, Hungary, written in Hungarian, February 1914. A total of 500 works exhibited. (Catalog on page 1)",Other,קטלוג|Catalog,print,original,,1914-02,1914-02,,1
IL-MTFN-001-G-F-0353-028-R0003,IL-MTFN-001-G-F-0353-028,"Price Catalog for Stucco Works, Paris 1911","קטלוג מחירים לעבודות שטרוק ב-Galerie d' Art Decoratif, פריס, בשנת 1911. צרפתית. (קטלוג באה דף מס. 1)","Preiskatalog für Stuckarbeiten in der Galerie d' Art Decoratif, Paris, im Jahr 1911. Französisch. (Katalog auf Seite Nr. 1)","Price catalog for stucco works at Galerie d' Art Decoratif, Paris, in 1911. French. (Catalog on page no. 1)",Other,קטלוג|Catalog,print,original,,1911,1911,,
IL-MTFN-001-G-F-0353-028-R0005,IL-MTFN-001-G-F-0353-028,Catalog for the 41st Berliner Secession Exhibition,קטלוג לתערוכה ה;41 של הסצסיון בברלין Berliner Secession בשנים 1921;1922. גרמנית. (קטלוג באה דף מס. 1),Katalog für die 41. Ausstellung der Berliner Secession in den Jahren 1921-1922. Deutsch. (Katalog auf Seite 1),Catalog for the 41st exhibition of the Berliner Secession in the years 1921-1922. German. (Catalog on page 1),German,קטלוג|Catalog,print,original,,1921,1921,,1
IL-MTFN-001-G-F-0353-028-R0006,IL-MTFN-001-G-F-0353-028,"Price Catalog for Modern Illustrations Exhibition, Berlin 1922","קטלוג מחירים לתערוכה של אילוסטרציות מודרניות Moderne Illustrationen, ברלין 1922. (קטלוג באה דף מס. 1)","Preiskatalog für eine Ausstellung moderner Illustrationen Moderne Illustrationen, Berlin 1922. (Katalog auf Seite Nr. 1)","Price catalog for an exhibition of modern illustrations Moderne Illustrationen, Berlin 1922. (Catalog on page No. 1)",German,קטלוג|Catalog,print,original,,1922,1922,,1
IL-MTFN-001-G-F-0353-028-R0007,IL-MTFN-001-G-F-0353-028,Berliner Secession Exhibition Catalog 1922,"קטלוג יצירות בתערוכת הססציון ברלין Berliner Secession, בשנת 1922. (קטלוג באה דף מס. 1)",Katalog von Werken in der Ausstellung der Berliner Secession im Jahr 1922. (Katalog auf Seite Nr. 1),Catalog of works in the Berliner Secession exhibition in 1922. (Catalog on page no. 1),German,קטלוג|Catalog,print,original,,1922,1922,,
IL-MTFN-001-G-F-0353-028-R0010,IL-MTFN-001-G-F-0353-028,Catalog of Hermann Struck's Works,"קטלוג ובו מספר דוגמאות מיצירותיו של הרמן שטרוק, בעיקר פורטריטים של אנשים ידועים. הקטלוג מכריז על מכירה של יצירות שטרוק, שכולן נושאות את חתימת ידו. על חלק מהיצירות חתם בכתב ידו גם ריכרד דהמל Richard Dehmel. הקטלוג יצא לאור בהוצאה של פרידריך דהנה, לייפציג, ללא תאריך. על הקטלוג ישנו רישום בעיפרון של פעולות חשבון, חישובי סכומים. (קטלוג באה דף מס. 1)","Katalog mit mehreren Beispielen aus den Werken von Hermann Struck, hauptsächlich Porträts bekannter Personen. Der Katalog kündigt den Verkauf von Strucks Werken an, die alle seine Unterschrift tragen. Auf einigen der Werke hat auch Richard Dehmel mit seiner Handschrift unterschrieben. Der Katalog wurde von Friedrich Dehne, Leipzig, ohne Datum veröffentlicht. Auf dem Katalog gibt es eine Bleistiftnotiz mit Rechenoperationen, Summenberechnungen. (Katalog mit Blatt Nr. 1)","Catalog containing several examples of Hermann Struck's works, mainly portraits of well-known people. The catalog announces the sale of Struck's works, all bearing his signature. On some of the works, Richard Dehmel also signed in his handwriting. The catalog was published by Friedrich Dehne, Leipzig, without a date. There is a pencil notation on the catalog with arithmetic operations, sum calculations. (Catalog with page No. 1)",German,קטלוג|Catalog,print,original,Hermann Struck,,,,1
